time_s,phase,alt_agl_m,airspeed,roll_deg,pitch_deg,climb_mps,throttle_pct,theta_cmd_deg,lat,lon
0.06,GROUND,-0.21,0.79,0.02,0.01,0.05,0,-0.00,28.5597410,77.1174499
0.36,GROUND,-0.19,0.26,0.02,-0.03,-0.02,90,-1.54,28.5597413,77.1174485
0.56,GROUND,-0.18,1.34,0.02,-0.07,-0.01,90,-2.00,28.5597421,77.1174450
0.86,GROUND,-0.17,2.53,0.02,-0.13,-0.01,90,-2.00,28.5597442,77.1174359
1.16,GROUND,-0.16,4.02,0.02,-0.15,-0.01,90,-2.00,28.5597473,77.1174228
1.46,GROUND,-0.16,5.11,0.02,-0.15,-0.01,90,-2.00,28.5597513,77.1174058
1.76,CLIMB,-0.15,6.21,0.02,-0.16,-0.01,90,-1.50,28.5597562,77.1173851
1.96,CLIMB,-0.14,7.01,0.03,-0.19,-0.02,90,-0.48,28.5597599,77.1173692
2.26,CLIMB,-0.13,8.31,0.03,-0.20,-0.02,90,1.00,28.5597662,77.1173424
2.56,CLIMB,-0.12,9.46,0.03,0.38,-0.00,90,2.49,28.5597733,77.1173123
2.86,CLIMB,-0.07,10.53,0.01,1.72,0.30,90,4.01,28.5597810,77.1172793
3.16,CLIMB,0.12,11.58,-0.00,3.56,0.86,90,5.50,28.5597895,77.1172436
3.36,CLIMB,0.34,12.21,0.00,5.02,1.32,90,6.51,28.5597954,77.1172183
3.66,CLIMB,0.87,12.88,0.00,7.45,2.12,90,8.00,28.5598048,77.1171787
3.86,CLIMB,1.35,13.41,0.00,9.15,2.68,90,8.99,28.5598112,77.1171514
4.16,CLIMB,2.30,13.93,-0.00,11.76,3.53,90,10.51,28.5598211,77.1171094
4.46,CLIMB,3.51,14.26,-0.03,14.42,4.37,90,12.00,28.5598312,77.1170668
4.66,CLIMB,4.46,14.45,-0.07,16.20,4.89,90,13.02,28.5598378,77.1170386
4.96,CLIMB,6.05,14.62,-0.07,18.77,5.60,90,14.50,28.5598476,77.1169973
5.26,CLIMB,7.84,14.57,-0.05,21.14,6.20,90,15.99,28.5598571,77.1169570
5.56,CLIMB,9.78,14.48,-0.04,23.30,6.67,90,16.50,28.5598663,77.1169179
5.86,CLIMB,11.84,14.20,-0.04,25.14,7.00,90,16.50,28.5598752,77.1168801
6.16,CLIMB,13.98,13.85,-0.03,26.50,7.19,90,16.50,28.5598838,77.1168437
6.46,CLIMB,16.16,13.50,-0.01,27.43,7.23,90,16.50,28.5598921,77.1168086
6.66,CLIMB,17.60,13.23,0.00,27.82,7.18,90,16.50,28.5598974,77.1167861
6.96,CLIMB,19.73,12.73,0.01,28.05,7.01,90,16.50,28.5599050,77.1167539
7.26,CLIMB,21.80,12.34,0.02,27.81,6.74,90,16.50,28.5599123,77.1167231
7.56,CLIMB,23.75,11.86,0.02,27.11,6.40,90,16.50,28.5599194,77.1166933
7.86,CLIMB,25.60,11.47,0.01,26.00,6.00,90,16.50,28.5599264,77.1166640
8.16,CLIMB,27.31,11.14,0.01,24.53,5.57,90,16.50,28.5599333,77.1166349
8.46,CLIMB,28.89,10.87,0.01,22.85,5.14,90,16.50,28.5599402,77.1166059
8.66,CLIMB,29.88,10.76,0.01,21.67,4.86,90,16.50,28.5599448,77.1165866
8.96,CLIMB,31.25,10.64,0.01,19.91,4.47,90,16.50,28.5599517,77.1165577
9.26,CLIMB,32.52,10.48,0.01,18.22,4.13,90,16.50,28.5599586,77.1165284
9.46,CLIMB,33.32,10.50,0.01,17.17,3.93,90,16.50,28.5599634,77.1165086
9.76,CLIMB,34.44,10.61,0.01,15.77,3.68,90,16.50,28.5599706,77.1164782
9.96,CLIMB,35.16,10.66,0.01,14.97,3.56,90,16.50,28.5599756,77.1164574
10.26,CLIMB,36.20,10.89,0.01,13.99,3.43,90,16.50,28.5599833,77.1164251
10.56,CLIMB,37.20,11.12,0.01,13.30,3.37,90,16.50,28.5599913,77.1163918
10.76,CLIMB,37.88,11.37,0.01,13.01,3.37,90,16.50,28.5599968,77.1163689
11.06,CLIMB,38.90,11.72,0.02,12.84,3.43,90,16.50,28.5600052,77.1163342
11.36,CLIMB,39.95,11.99,0.02,12.92,3.54,90,16.50,28.5600137,77.1162989
11.66,CLIMB,41.04,12.34,0.02,13.17,3.70,90,16.50,28.5600224,77.1162627
11.96,CLIMB,42.18,12.57,0.02,13.56,3.89,90,16.50,28.5600313,77.1162258
12.26,CLIMB,43.38,12.79,0.02,14.03,4.09,90,16.50,28.5600404,77.1161881
12.56,CLIMB,44.64,12.95,0.02,14.58,4.31,90,16.50,28.5600496,77.1161499
12.76,CLIMB,45.52,13.07,0.02,14.99,4.45,90,16.50,28.5600559,77.1161241
13.06,CLIMB,46.90,13.29,0.02,15.66,4.67,90,16.50,28.5600652,77.1160857
13.36,CLIMB,48.34,13.40,0.02,16.36,4.87,90,16.50,28.5600745,77.1160475
13.66,CLIMB,49.84,13.49,0.01,17.00,5.05,90,16.50,28.5600837,77.1160095
13.96,CLIMB,51.39,13.50,0.01,17.57,5.21,90,16.50,28.5600930,77.1159716
14.16,CLIMB,52.45,13.49,0.01,17.91,5.29,90,16.50,28.5600991,77.1159463
14.46,CLIMB,54.05,13.44,0.01,18.31,5.39,90,16.50,28.5601084,77.1159083
14.66,CLIMB,55.13,13.45,0.02,18.52,5.44,90,16.50,28.5601145,77.1158832
14.96,CLIMB,56.78,13.32,0.03,18.79,5.48,90,16.50,28.5601237,77.1158456
15.26,CLIMB,58.43,13.35,0.02,19.00,5.51,90,16.50,28.5601327,77.1158088
15.46,CLIMB,59.54,13.25,0.02,19.09,5.50,90,16.50,28.5601387,77.1157844
15.76,CLIMB,61.19,13.12,0.02,19.13,5.48,90,16.50,28.5601476,77.1157481
16.06,CLIMB,62.84,13.01,0.02,19.07,5.43,90,16.50,28.5601564,77.1157121
16.36,CLIMB,64.46,12.93,0.02,18.90,5.37,90,16.50,28.5601653,77.1156759
16.66,CLIMB,66.06,12.88,0.03,18.65,5.29,90,16.50,28.5601742,77.1156398
16.96,CLIMB,67.63,12.90,0.03,18.36,5.21,90,16.50,28.5601831,77.1156037
17.26,CLIMB,69.18,12.79,0.02,18.07,5.12,90,16.50,28.5601919,77.1155678
17.46,CLIMB,70.20,12.78,0.02,17.88,5.07,90,16.50,28.5601978,77.1155441
17.76,CLIMB,71.71,12.66,0.02,17.57,4.99,90,16.50,28.5602066,77.1155086
18.06,CLIMB,73.19,12.76,0.02,17.26,4.91,90,16.50,28.5602154,77.1154730
18.36,CLIMB,74.66,12.74,0.02,16.94,4.85,90,16.50,28.5602243,77.1154369
18.66,CLIMB,76.10,12.70,0.02,16.62,4.79,90,16.50,28.5602334,77.1154006
18.96,CLIMB,77.53,12.81,0.03,16.35,4.75,90,16.50,28.5602425,77.1153639
19.26,CLIMB,78.95,12.79,0.03,16.16,4.72,90,16.50,28.5602516,77.1153272
19.46,CLIMB,79.89,12.87,0.02,16.06,4.71,90,16.50,28.5602577,77.1153029
19.76,CLIMB,81.31,12.94,0.02,15.96,4.71,90,16.50,28.5602668,77.1152662
20.06,CLIMB,82.72,12.98,0.03,15.88,4.71,90,16.50,28.5602761,77.1152293
20.36,CLIMB,84.15,13.02,0.02,15.85,4.73,90,16.50,28.5602854,77.1151921
20.66,CLIMB,85.58,13.16,0.02,15.83,4.76,90,16.50,28.5602948,77.1151544
20.96,CLIMB,87.02,13.20,0.02,15.84,4.79,90,16.50,28.5603043,77.1151164
21.26,CLIMB,88.48,13.29,0.03,15.90,4.84,90,16.50,28.5603139,77.1150781
21.46,CLIMB,89.46,13.26,0.02,15.97,4.87,90,16.50,28.5603203,77.1150528
21.76,CLIMB,90.93,13.33,0.02,16.11,4.92,89,16.10,28.5603298,77.1150150
22.06,CLIMB,92.42,13.32,-0.00,16.21,4.93,87,14.61,28.5603393,77.1149771
22.36,CLIMB,93.90,13.28,-0.07,16.02,4.83,83,13.09,28.5603489,77.1149392
22.56,CLIMB,94.85,13.21,-0.11,15.64,4.66,80,12.08,28.5603552,77.1149139
22.86,CLIMB,96.19,13.03,-0.12,14.62,4.25,75,10.59,28.5603646,77.1148763
23.16,CLIMB,97.37,12.78,-0.11,13.08,3.69,71,9.11,28.5603739,77.1148391
23.46,CLIMB,98.38,12.40,-0.13,11.09,3.05,68,7.59,28.5603830,77.1148027
23.76,CLIMB,99.19,12.13,-0.16,8.76,2.38,66,6.10,28.5603918,77.1147672
23.96,CRUISE,99.61,11.99,-0.17,7.08,1.94,66,-0.04,28.5603977,77.1147436
24.26,CRUISE,100.08,11.84,-0.17,3.96,1.28,66,-0.49,28.5604065,77.1147082
24.46,CRUISE,100.28,11.87,-0.16,1.80,0.83,66,-0.40,28.5604124,77.1146844
24.76,CRUISE,100.42,11.94,-0.16,-1.07,0.17,66,-0.17,28.5604214,77.1146480
25.06,CRUISE,100.37,12.15,-0.16,-3.46,-0.40,66,0.46,28.5604307,77.1146105
25.26,CRUISE,100.25,12.35,-0.15,-4.76,-0.72,66,1.06,28.5604370,77.1145849
25.56,CRUISE,99.96,12.77,-0.15,-6.23,-1.12,66,2.32,28.5604467,77.1145455
25.86,CRUISE,99.57,13.18,-0.14,-7.09,-1.40,66,3.54,28.5604567,77.1145051
26.16,CRUISE,99.11,13.74,-0.13,-7.40,-1.56,66,5.22,28.5604671,77.1144633
26.46,CRUISE,98.63,14.13,-0.13,-7.19,-1.57,66,6.38,28.5604777,77.1144201
26.66,CRUISE,98.31,14.40,-0.13,-6.82,-1.51,66,7.21,28.5604851,77.1143904
26.96,CRUISE,97.89,14.80,-0.13,-5.97,-1.33,66,8.41,28.5604964,77.1143446
27.16,CRUISE,97.64,15.04,-0.13,-5.23,-1.14,66,9.11,28.5605041,77.1143136
27.46,CRUISE,97.36,15.31,-0.12,-3.87,-0.79,66,9.93,28.5605158,77.1142661
27.76,CRUISE,97.19,15.46,-0.12,-2.29,-0.37,66,10.37,28.5605276,77.1142187
27.96,CRUISE,97.15,15.54,-0.13,-1.16,-0.07,66,10.62,28.5605354,77.1141871
28.26,CRUISE,97.21,15.58,-0.13,0.57,0.41,66,10.74,28.5605471,77.1141398
28.56,CRUISE,97.41,15.58,-0.12,2.30,0.87,66,10.73,28.5605588,77.1140926
28.76,CRUISE,97.62,15.53,-0.13,3.42,1.18,66,10.58,28.5605666,77.1140611
29.06,CRUISE,98.05,15.38,-0.14,4.98,1.59,66,10.13,28.5605782,77.1140142
29.26,CRUISE,98.41,15.25,-0.13,5.95,1.84,66,9.76,28.5605858,77.1139836
29.56,CRUISE,99.02,14.94,-0.13,7.29,2.15,66,8.83,28.5605970,77.1139384
29.86,CRUISE,99.71,14.63,-0.14,8.41,2.38,66,7.90,28.5606078,77.1138948
30.06,CRUISE,100.20,14.38,-0.15,9.00,2.48,66,7.13,28.5606148,77.1138664
30.36,CRUISE,100.96,14.05,-0.15,9.62,2.57,66,6.14,28.5606251,77.1138248
30.66,CRUISE,101.74,13.74,-0.15,9.91,2.57,66,5.22,28.5606351,77.1137842
30.96,CRUISE,102.52,13.44,-0.16,9.87,2.51,66,4.32,28.5606449,77.1137443
31.26,CRUISE,103.26,13.13,-0.16,9.54,2.37,66,3.39,28.5606546,77.1137051
31.56,CRUISE,103.94,12.89,-0.15,8.93,2.19,66,2.68,28.5606641,77.1136665
31.86,CRUISE,104.57,12.64,-0.15,8.12,1.97,66,1.91,28.5606734,77.1136287
32.06,CRUISE,104.95,12.55,-0.15,7.48,1.80,66,1.64,28.5606795,77.1136039
32.36,CRUISE,105.44,12.42,-0.15,6.39,1.54,66,1.25,28.5606886,77.1135669
32.66,CRUISE,105.86,12.28,-0.16,5.23,1.27,66,0.84,28.5606977,77.1135300
32.96,CRUISE,106.19,12.32,-0.15,4.02,1.00,66,0.97,28.5607068,77.1134926
33.26,CRUISE,106.45,12.33,-0.14,2.88,0.76,66,0.99,28.5607161,77.1134548
33.56,CRUISE,106.64,12.36,-0.14,1.86,0.54,66,1.09,28.5607255,77.1134165
