Monte Carlo Case #0002  [uSTOL FBWA open-loop profile]
======================================================================

Timestamp : 2026-06-18T16:42:57.781302
Duration  : 55.8 s

Parameter                     Nominal      Perturbed    Delta%
----------------------------------------------------------------------
mass                        17.000000      16.670774    -1.94%
Ixx                         11.410000      10.629006    -6.84%
Iyy                          5.230000       5.700973    +9.01%
Izz                         16.497000      15.441250    -6.40%
rho                          1.150000       1.252669    +8.93%
s                            1.681000       1.673047    -0.47%
b                            4.100000       4.037684    -1.52%
c                            0.410000       0.406983    -0.74%
t_by_c                       0.150000       0.151239    +0.83%
s_blown                      0.885600       0.922366    +4.15%
cg_x_cg_c                    0.495100       0.495136    +0.01%
wing_lambda_b                0.402400       0.394158    -2.05%
wing_S_f                     0.206640       0.203336    -1.60%
wing_S_a                     0.059040       0.058949    -0.15%
wing_k_fit                   0.535000       0.458233   -14.35%
wing_cl0_camber              0.519000       0.448248   -13.63%
wing_k_w                     2.632757       2.359060   -10.40%
wing_r                      -0.005473      -0.006091   -11.29%
tail_a_t                     4.270000       4.655290    +9.02%
tail_eta_t_0                 1.027100       0.911969   -11.21%
tail_eta_t_1                 0.010824       0.010342    -4.45%
tail_eps0                    0.030729       0.036912   +20.12%
tail_deps_pos               -0.018088      -0.014422   +20.27%
tail_deps_neg                0.283491       0.343244   +21.08%
tail_k_ht                    3.132920       2.954172    -5.71%
tail_CD_ht0                  0.004050       0.003756    -7.26%
tail_S_ht_S                  0.238050       0.244078    +2.53%
tail_V_H                     0.950000       0.935927    -1.48%
tail_AR_ht                   5.000000       4.763856    -4.72%
fuse_CD_a2                   1.956124       1.925144    -1.58%
fuse_CD_b2                   0.453343       0.466637    +2.93%
fuse_CD_a2_Cmyu              0.010846       0.013132   +21.07%
fuse_CD0                     0.045249       0.036325   -19.72%
fuse_CDq                    -0.373360      -0.350639    +6.09%
controls_tau_f               0.297565       0.321281    +7.97%
controls_tau_a               0.086943       0.107096   +23.18%
controls_Kb_f                0.506727       0.583855   +15.22%
controls_Kb_a                0.131584       0.132776    +0.91%
controls_tau_e               0.625000       0.645010    +3.20%
controls_CD_df2              0.217554       0.225357    +3.59%
controls_CD_da2              0.030418       0.035853   +17.87%
controls_CD_da               0.013566       0.007059   -47.97%
controls_CD_de2              0.164864       0.191945   +16.43%
controls_CD_de               0.010177       0.009306    -8.56%
controls_CD_dr2              0.142042       0.108802   -23.40%
stall_K_flat                 5.057530       5.514307    +9.03%
stall_a0_const              18.459054      16.246947   -11.98%
stall_a0_Cmyu               -0.125111      -0.172612   -37.97%
stall_k                     25.681000      21.753972   -15.29%
cl_stall_wM0                21.881300      23.960223    +9.50%
cl_stall_wM1                -2.477600      -2.679788    -8.16%
cl_stall_wa00               19.999700      23.874899   +19.38%
cl_stall_wa0mu               1.495500       1.444259    -3.43%
cl_stall_wa0f               -5.252700      -4.829819    +8.05%
cl_stall_wkflat              4.028400       5.584408   +38.63%
cl_stall_rM                 14.328600      13.286867    -7.27%
cl_stall_ra0                13.226100      17.342586   +31.12%
cl_stall_rkcu                0.476500       0.514711    +8.02%
cl_stall_rkflat              1.351400       1.414186    +4.65%
lateral_theta0               0.000424       0.000340   -19.82%
lateral_theta_b             -0.014394      -0.014345    +0.34%
