Monte Carlo Case #0539
=================================================================

Timestamp : 2026-06-12T06:18:18.531622
Duration  : 124.3 s

Parameter                   Nominal      Perturbed    Delta%
-----------------------------------------------------------------
mass                      17.000000      18.087806    +6.40%
Ixx                       11.410000      13.067696   +14.53%
Iyy                        5.230000       5.764542   +10.22%
Izz                       16.497000      15.847125    -3.94%
rho                        1.150000       1.148308    -0.15%
s                          1.681000       1.685899    +0.29%
b                          4.100000       4.115353    +0.37%
c                          0.410000       0.405508    -1.10%
t_by_c                     0.150000       0.148281    -1.15%
s_blown                    0.885600       0.806659    -8.91%
cg_x_cg_c                  0.495100       0.488061    -1.42%
wing_lambda_b              0.402400       0.389525    -3.20%
wing_S_f                   0.206640       0.203522    -1.51%
wing_S_a                   0.059040       0.059534    +0.84%
wing_k_fit                 0.535000       0.411693   -23.05%
wing_cl0_camber            0.519000       0.445096   -14.24%
wing_k_w                   2.632757       2.299135   -12.67%
wing_r                    -0.005473      -0.004726   +13.65%
tail_a_t                   4.270000       4.410547    +3.29%
tail_eta_t_0               1.027100       1.050258    +2.25%
tail_eta_t_1               0.010824       0.010150    -6.23%
tail_eps0                  0.030729       0.030936    +0.67%
tail_deps_pos             -0.018088      -0.020423   -12.91%
tail_deps_neg              0.283491       0.248518   -12.34%
tail_k_ht                  3.132920       3.325896    +6.16%
tail_CD_ht0                0.004050       0.003613   -10.78%
tail_S_ht_S                0.238050       0.236376    -0.70%
tail_V_H                   0.950000       0.932907    -1.80%
tail_AR_ht                 5.000000       4.608591    -7.83%
fuse_CD_a2                 1.956124       1.767846    -9.63%
fuse_CD_b2                 0.453343       0.410918    -9.36%
fuse_CD_a2_Cmyu            0.010846       0.010156    -6.36%
fuse_CD0                   0.045249       0.031652   -30.05%
fuse_CDp_cu                0.000253       0.000222   -12.15%
fuse_CDq_cu               -0.012001      -0.010177   +15.20%
fuse_CDr_cu               -0.023006      -0.021329    +7.29%
controls_tau_f             0.297565       0.277754    -6.66%
controls_tau_a             0.086943       0.069848   -19.66%
controls_Kb_f              0.506727       0.515206    +1.67%
controls_Kb_a              0.131584       0.152806   +16.13%
controls_tau_e             0.625000       0.783025   +25.28%
controls_CD_df2            0.217554       0.198555    -8.73%
controls_CD_da2            0.030418       0.025044   -17.67%
controls_CD_da             0.013566       0.014655    +8.03%
controls_CD_de2            0.164864       0.174731    +5.99%
controls_CD_de             0.010177       0.010195    +0.17%
controls_CD_dr2            0.142042       0.127004   -10.59%
stall_K_flat               5.057530       3.954281   -21.81%
stall_a0_const            18.459054      20.534457   +11.24%
stall_a0_Cmyu             -0.125111      -0.106417   +14.94%
stall_k                   25.681000      24.140241    -6.00%
cl_stall_wM0              21.881300      28.119444   +28.51%
cl_stall_wM1              -2.477600      -2.380056    +3.94%
cl_stall_wa00             19.999700      19.416522    -2.92%
cl_stall_wa0mu             1.495500       1.200670   -19.71%
cl_stall_wa0f             -5.252700      -6.741376   -28.34%
cl_stall_wkflat            4.028400       3.684670    -8.53%
cl_stall_rM               14.328600      15.209217    +6.15%
cl_stall_ra0              13.226100      18.370134   +38.89%
cl_stall_rkcu              0.476500       0.481866    +1.13%
