wall_time_s,servo1,servo2,servo3,servo4,servo5,servo6,servo7,servo8,servo9,servo10,servo11,servo12,servo13,servo14,servo15,servo16
12.950,1100,1900,2000,1900,1900,1900,1900,1900,1900,1502,1411,1501,1148,1100,0,0
12.950,1100,1900,2000,1900,1900,1900,1900,1900,1900,1502,1406,1501,1208,1100,0,0
12.951,1100,1900,2000,1900,1900,1900,1900,1900,1900,1502,1406,1501,1268,1100,0,0
12.951,1100,1900,2000,1900,1900,1900,1900,1900,1900,1502,1406,1501,1328,1100,0,0
12.952,1100,1900,2000,1900,1900,1900,1900,1900,1900,1502,1405,1501,1388,1100,0,0
12.952,1100,1900,2000,1900,1900,1900,1900,1900,1900,1502,1405,1501,1448,1100,0,0
12.952,1100,1900,2000,1900,1900,1900,1900,1900,1900,1502,1405,1501,1500,1100,0,0
12.953,1100,1900,2000,1900,1900,1900,1900,1900,1900,1502,1405,1501,1500,1100,0,0
12.953,1100,1900,2000,1900,1900,1900,1900,1900,1900,1502,1405,1501,1500,1100,0,0
12.953,1100,1900,2000,1900,1900,1900,1900,1900,1900,1502,1400,1501,1500,1100,0,0
12.954,1100,1900,2000,1900,1900,1900,1900,1900,1900,1502,1394,1501,1500,1100,0,0
12.954,1100,1900,2000,1900,1900,1900,1900,1900,1900,1502,1389,1501,1500,1100,0,0
12.954,1100,1900,2000,1900,1900,1900,1900,1900,1900,1502,1383,1501,1500,1100,0,0
12.955,1100,1900,2000,1900,1900,1900,1900,1900,1900,1502,1378,1501,1500,1100,0,0
12.955,1100,1900,2000,1900,1900,1900,1900,1900,1900,1502,1372,1501,1500,1100,0,0
12.955,1100,1900,2000,1900,1900,1900,1900,1900,1900,1502,1366,1500,1500,1100,0,0
12.956,1100,1900,2000,1900,1900,1900,1900,1900,1900,1502,1361,1500,1500,1100,0,0
12.956,1100,1900,2000,1900,1900,1900,1900,1900,1900,1502,1355,1500,1500,1100,0,0
12.956,1100,1900,2000,1900,1900,1900,1900,1900,1900,1501,1350,1500,1500,1100,0,0
12.957,1100,1900,2000,1900,1900,1900,1900,1900,1900,1501,1344,1500,1500,1100,0,0
12.957,1100,1900,2000,1900,1900,1900,1900,1900,1900,1501,1339,1500,1500,1100,0,0
12.957,1100,1900,2000,1900,1900,1900,1900,1900,1900,1501,1336,1500,1500,1100,0,0
12.959,1100,1900,2000,1900,1900,1900,1900,1900,1900,1501,1335,1500,1500,1100,0,0
12.962,1100,1900,2000,1900,1900,1900,1900,1900,1900,1501,1333,1500,1500,1100,0,0
12.964,1100,1900,2000,1900,1900,1900,1900,1900,1900,1501,1335,1500,1500,1100,0,0
12.966,1100,1900,2000,1900,1900,1900,1900,1900,1900,1501,1337,1500,1500,1100,0,0
12.974,1100,1900,2000,1900,1900,1900,1900,1900,1900,1500,1340,1500,1500,1100,0,0
12.991,1100,1900,2000,1900,1900,1900,1900,1900,1900,1500,1345,1500,1500,1100,0,0
13.009,1100,1900,2000,1900,1900,1900,1900,1900,1900,1500,1350,1500,1500,1100,0,0
13.034,1100,1900,2000,1900,1900,1900,1900,1900,1900,1500,1355,1500,1500,1100,0,0
13.054,1100,1900,2000,1900,1900,1900,1900,1900,1900,1500,1359,1500,1500,1100,0,0
13.073,1100,1900,2000,1900,1900,1900,1900,1900,1900,1500,1364,1500,1500,1100,0,0
13.093,1100,1900,2000,1900,1900,1900,1900,1900,1900,1500,1368,1500,1500,1100,0,0
13.112,1100,1900,2000,1900,1900,1900,1900,1900,1900,1500,1370,1500,1500,1100,0,0
13.129,1100,1900,2000,1900,1900,1900,1900,1900,1900,1500,1372,1500,1500,1100,0,0
13.149,1100,1900,2000,1900,1900,1900,1900,1900,1900,1500,1373,1500,1500,1100,0,0
13.173,1100,1900,2000,1900,1900,1900,1900,1900,1900,1500,1372,1500,1500,1100,0,0
13.191,1100,1900,2000,1900,1900,1900,1900,1900,1900,1500,1371,1500,1500,1100,0,0
13.210,1100,1900,2000,1900,1900,1900,1900,1900,1900,1500,1370,1500,1500,1100,0,0
13.229,1100,1900,2000,1900,1900,1900,1900,1900,1900,1500,1369,1500,1500,1100,0,0
13.253,1100,1900,2000,1900,1900,1900,1900,1900,1900,1500,1368,1500,1500,1100,0,0
13.273,1100,1900,2000,1900,1900,1900,1900,1900,1900,1500,1367,1500,1500,1100,0,0
13.292,1100,1900,2000,1900,1900,1900,1900,1900,1900,1500,1366,1500,1500,1100,0,0
13.313,1100,1900,2000,1900,1900,1900,1900,1900,1900,1500,1366,1500,1500,1100,0,0
13.331,1100,1900,2000,1900,1900,1900,1900,1900,1900,1500,1367,1500,1500,1100,0,0
13.349,1100,1900,2000,1900,1900,1900,1900,1900,1900,1500,1367,1500,1500,1100,0,0
13.368,1100,1900,2000,1900,1900,1900,1900,1900,1900,1500,1368,1500,1500,1100,0,0
13.392,1100,1900,2000,1900,1900,1900,1900,1900,1900,1500,1304,1500,1500,1100,0,0
13.412,1100,1900,2000,1900,1900,1900,1900,1900,1900,1500,1306,1500,1500,1100,0,0
13.430,1100,1900,2000,1900,1900,1900,1900,1900,1900,1500,1308,1500,1500,1100,0,0
13.449,1100,1900,2000,1900,1900,1900,1900,1900,1900,1500,1312,1500,1500,1100,0,0
13.467,1100,1900,2000,1900,1900,1900,1900,1900,1900,1500,1313,1500,1500,1100,0,0
13.491,1100,1900,2000,1900,1900,1900,1900,1900,1900,1501,1317,1500,1500,1100,0,0
13.510,1100,1900,2000,1900,1900,1900,1900,1900,1900,1501,1321,1500,1500,1100,0,0
13.528,1100,1900,2000,1900,1900,1900,1900,1900,1900,1502,1323,1500,1500,1100,0,0
13.553,1100,1900,2000,1900,1900,1900,1900,1900,1900,1502,1325,1500,1500,1100,0,0
13.567,1100,1900,2000,1900,1900,1900,1900,1900,1900,1503,1327,1500,1500,1100,0,0
13.591,1100,1900,2000,1900,1900,1900,1900,1900,1900,1503,1329,1500,1500,1100,0,0
13.610,1100,1900,2000,1900,1900,1900,1900,1900,1900,1504,1332,1501,1500,1100,0,0
13.629,1100,1900,2000,1900,1900,1900,1900,1900,1900,1504,1334,1501,1500,1100,0,0
13.647,1100,1900,2000,1900,1900,1900,1900,1900,1900,1513,1336,1505,1500,1100,0,0
13.670,1100,1900,2000,1900,1900,1900,1900,1900,1900,1523,1338,1510,1500,1100,0,0
13.688,1100,1900,2000,1900,1900,1900,1900,1900,1900,1533,1338,1515,1500,1100,0,0
13.707,1100,1900,2000,1900,1900,1900,1900,1900,1900,1542,1339,1520,1500,1100,0,0
13.732,1100,1900,2000,1900,1900,1900,1900,1900,1900,1552,1343,1525,1500,1100,0,0
13.751,1100,1900,2000,1900,1900,1900,1900,1900,1900,1562,1343,1529,1500,1100,0,0
13.770,1100,1900,2000,1900,1900,1900,1900,1900,1900,1571,1345,1534,1500,1100,0,0
13.789,1100,1900,2000,1900,1900,1900,1900,1900,1900,1573,1344,1535,1500,1100,0,0
13.807,1100,1900,2000,1900,1900,1900,1900,1900,1900,1573,1346,1535,1500,1100,0,0
13.828,1100,1900,2000,1900,1900,1900,1900,1900,1900,1572,1348,1535,1500,1100,0,0
13.849,1100,1900,2000,1900,1900,1900,1900,1900,1900,1571,1348,1534,1500,1100,0,0
13.869,1100,1900,2000,1900,1900,1900,1900,1900,1900,1570,1349,1534,1500,1100,0,0
13.887,1100,1900,2000,1900,1900,1900,1900,1900,1900,1569,1347,1533,1500,1100,0,0
13.911,1100,1900,2000,1900,1900,1900,1900,1900,1900,1567,1346,1533,1500,1100,0,0
13.932,1100,1900,2000,1900,1900,1900,1900,1900,1900,1566,1345,1532,1500,1100,0,0
13.947,1100,1900,2000,1900,1900,1900,1900,1900,1900,1565,1345,1532,1500,1100,0,0
13.970,1100,1900,2000,1900,1900,1900,1900,1900,1900,1564,1342,1531,1500,1100,0,0
13.988,1100,1900,2000,1900,1900,1900,1900,1900,1900,1563,1340,1531,1500,1100,0,0
