wall_time_s,ardu_mode,lat_degE7,lon_degE7,alt_msl_mm,alt_agl_mm,vx_cmps,vy_cmps,vz_cmps,roll_rad,pitch_rad,yaw_rad,rollspeed_rps,pitchspeed_rps,yawspeed_rps,local_x_m,local_y_m,local_z_m,local_vx_mps,local_vy_mps,local_vz_mps,airspeed_mps,groundspeed_mps,heading_deg,throttle_pct,climb_mps,xacc_mg,yacc_mg,zacc_mg,xgyro_mradps,ygyro_mradps,zgyro_mradps,nav_roll_deg,nav_pitch_deg,alt_error_m,aspd_error_mps,xtrack_error_m
12.950,-1,0,0,0,0,0,0,0,0.00210,0.00199,-1.30644,0.00027,0.00034,0.00028,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
12.950,-1,285597699,771173272,237070,21,83,-304,0,0.00210,0.00200,-1.30642,0.00029,0.00037,0.00026,3.223,-12.003,0.028,0.832,-3.041,-0.007,2.66,3.15,285,100,0.01,0,0,0,0,0,0,0.00,5.00,80.00,-250.57,77.16
12.951,-1,285597707,771173239,237070,23,90,-331,0,0.00210,0.00197,-1.30641,0.00030,0.00034,0.00031,3.309,-12.323,0.027,0.907,-3.318,-0.008,2.57,3.44,285,100,0.01,0,0,0,0,0,0,0.00,5.00,80.00,35.72,77.16
12.951,-1,285597715,771173204,237070,23,98,-359,0,0.00210,0.00193,-1.30641,0.00031,0.00033,0.00028,3.402,-12.670,0.026,0.981,-3.591,-0.008,2.79,3.72,285,100,0.01,0,0,0,0,0,0,0.00,5.00,80.00,643.18,77.15
12.951,-1,285597724,771173165,237070,24,105,-386,0,0.00211,0.00189,-1.30641,0.00027,0.00031,0.00021,3.502,-13.045,0.025,1.054,-3.860,-0.008,2.87,4.00,285,100,0.01,0,0,0,0,0,0,0.00,5.00,80.00,921.24,77.14
12.952,13,285597734,771173124,237070,26,112,-412,0,0.00211,0.00184,-1.30644,0.00027,0.00031,0.00027,3.610,-13.446,0.023,1.126,-4.126,-0.009,3.06,4.28,285,100,0.01,0,0,0,0,0,0,0.00,5.00,80.00,912.59,77.14
12.952,13,285597744,771173080,237070,27,119,-438,0,0.00211,0.00181,-1.30649,0.00025,0.00035,0.00030,3.725,-13.874,0.023,1.197,-4.388,-0.009,3.32,4.55,285,100,0.01,0,0,0,0,0,0,0.00,5.00,80.00,894.27,77.13
12.952,13,285597755,771173034,237070,28,126,-464,0,0.00211,0.00177,-1.30656,0.00031,0.00028,0.00024,3.847,-14.329,0.022,1.267,-4.647,-0.010,3.63,4.82,285,100,0.01,0,0,0,0,0,0,0.00,5.00,80.00,867.58,77.13
12.953,13,285597767,771172985,237070,28,133,-489,0,0.00211,0.00173,-1.30666,0.00031,0.00032,0.00028,3.976,-14.809,0.021,1.334,-4.898,-0.010,4.17,5.08,285,100,0.01,0,0,0,0,0,0,0.00,5.00,80.00,836.58,77.02
12.953,13,285597779,771172933,237070,29,138,-508,0,0.00212,0.00171,-1.30677,0.00027,0.00036,0.00021,4.111,-15.312,0.021,1.386,-5.090,-0.010,4.53,5.28,285,100,0.01,0,0,0,0,0,0,0.00,5.00,80.00,783.19,76.49
12.954,13,285597791,771172880,237070,29,143,-526,0,0.00212,0.00168,-1.30691,0.00032,0.00032,0.00022,4.252,-15.833,0.021,1.434,-5.269,-0.010,4.67,5.46,285,100,0.01,0,0,0,0,0,0,0.00,5.00,80.00,746.59,75.96
12.954,13,285597805,771172825,237070,28,148,-544,0,0.00212,0.00162,-1.30709,0.00029,0.00030,0.00017,4.398,-16.375,0.021,1.481,-5.442,-0.010,4.86,5.64,285,100,0.01,0,0,0,0,0,0,0.00,5.00,80.00,733.48,75.40
12.954,13,285597818,771172767,237070,28,152,-561,0,0.00212,0.00153,-1.30726,0.00025,0.00034,0.00025,4.548,-16.936,0.021,1.526,-5.610,-0.009,5.11,5.81,285,100,0.01,0,0,0,0,0,0,0.00,5.00,80.00,714.21,74.81
12.955,13,285597832,771172708,237070,29,156,-577,0,0.00211,0.00142,-1.30745,0.00030,0.00032,0.00022,4.703,-17.512,0.020,1.569,-5.770,-0.009,5.26,5.98,285,100,0.01,0,0,0,0,0,0,0.01,5.00,80.00,688.55,74.21
12.955,13,285597846,771172648,237080,30,161,-592,0,0.00211,0.00131,-1.30764,0.00026,0.00031,0.00015,4.862,-18.107,0.019,1.610,-5.925,-0.009,5.42,6.14,285,100,0.01,0,0,0,0,0,0,0.01,5.00,79.99,673.93,73.61
12.955,13,285597861,771172585,237080,31,164,-607,0,0.00210,0.00120,-1.30784,0.00024,0.00028,0.00020,5.026,-18.716,0.018,1.649,-6.073,-0.009,5.56,6.29,285,100,0.01,0,0,0,0,0,0,0.01,5.00,79.99,657.66,72.97
12.956,13,285597876,771172522,237080,31,168,-621,0,0.00210,0.00111,-1.30803,0.00027,0.00032,0.00013,5.191,-19.336,0.018,1.687,-6.214,-0.009,5.69,6.44,285,100,0.01,0,0,0,0,0,0,0.02,5.00,79.99,644.42,72.33
12.956,13,285597891,771172457,237080,31,172,-635,0,0.00210,0.00103,-1.30821,0.00027,0.00029,0.00017,5.362,-19.972,0.019,1.724,-6.353,-0.008,5.73,6.58,285,100,0.01,0,0,0,0,0,0,0.02,5.00,79.99,631.32,71.67
12.956,13,285597907,771172390,237080,31,176,-649,0,0.00210,0.00095,-1.30836,0.00033,0.00027,0.00015,5.537,-20.625,0.018,1.760,-6.491,-0.008,5.94,6.73,285,100,0.01,0,0,0,0,0,0,0.02,5.00,79.99,626.72,71.00
12.957,13,285597923,771172322,237080,31,179,-662,0,0.00210,0.00093,-1.30850,0.00027,0.00026,0.00013,5.715,-21.289,0.019,1.796,-6.625,-0.007,6.07,6.86,285,100,0.01,0,0,0,0,0,0,0.03,5.00,79.99,605.79,70.30
12.957,13,285597939,771172253,237080,31,183,-675,0,0.00210,0.00097,-1.30865,0.00028,0.00026,0.00016,5.897,-21.967,0.018,1.831,-6.756,-0.007,6.20,7.00,285,100,0.01,0,0,0,0,0,0,0.03,5.00,79.99,593.50,69.61
12.957,13,285597956,771172183,237080,31,186,-688,0,0.00210,0.00102,-1.30880,0.00024,-0.00022,0.00013,6.080,-22.650,0.018,1.864,-6.883,-0.007,6.42,7.13,285,100,0.01,0,0,0,0,0,0,0.04,5.00,79.99,580.09,68.90
12.959,13,285597972,771172112,237080,33,189,-700,0,0.00211,0.00106,-1.30894,0.00031,0.00003,0.00015,6.265,-23.344,0.016,1.897,-7.006,-0.008,6.46,7.26,285,100,0.01,0,0,0,0,0,0,0.04,5.00,79.99,558.24,68.18
12.962,13,285597989,771172040,237080,35,192,-712,0,0.00211,0.00134,-1.30909,0.00033,0.00414,0.00018,6.454,-24.048,0.014,1.929,-7.128,-0.008,6.68,7.38,285,100,0.01,0,0,0,0,0,0,0.04,5.00,79.99,554.42,67.45
12.964,13,285598006,771171967,237080,37,196,-724,0,0.00210,0.00243,-1.30925,0.00025,0.01443,0.00015,6.645,-24.764,0.013,1.961,-7.246,-0.008,6.84,7.51,284,100,0.01,0,0,0,0,0,0,0.05,5.00,79.99,532.36,66.71
12.966,13,285598024,771171892,237080,38,199,-736,0,0.00210,0.00467,-1.30940,0.00032,0.02674,0.00014,6.839,-25.491,0.011,1.991,-7.362,-0.009,6.95,7.63,284,100,0.01,0,0,0,0,0,0,0.05,5.00,79.99,515.62,65.96
12.973,13,285598042,771171817,237080,38,202,-747,0,0.00209,0.00822,-1.30954,0.00027,0.04029,0.00006,7.036,-26.229,0.012,2.021,-7.476,-0.009,7.16,7.74,284,100,0.01,0,0,0,0,0,0,0.05,5.00,79.99,504.99,65.20
12.991,13,285598060,771171740,237080,36,205,-758,0,0.00209,0.01306,-1.30965,0.00030,0.05282,0.00008,7.236,-26.978,0.013,2.051,-7.587,-0.009,7.23,7.86,284,100,0.01,0,0,0,0,0,0,0.06,5.00,79.99,484.27,64.42
13.009,13,285598078,771171663,237080,34,207,-769,0,0.00210,0.01904,-1.30974,0.00028,0.06357,0.00012,7.440,-27.738,0.015,2.079,-7.695,-0.008,7.32,7.97,284,100,0.01,0,0,0,0,0,0,0.06,5.00,79.99,477.04,63.63
13.033,13,285598096,771171584,237080,34,210,-779,0,0.00210,0.02583,-1.30981,0.00027,0.06998,0.00014,7.646,-28.509,0.016,2.107,-7.799,-0.009,7.32,8.08,284,100,0.01,0,0,0,0,0,0,0.07,5.00,79.99,467.73,62.84
13.053,13,285598115,771171504,237080,32,213,-789,0,0.00210,0.03300,-1.30988,0.00026,0.07205,0.00009,7.855,-29.290,0.017,2.134,-7.899,-0.008,7.51,8.18,284,100,0.01,0,0,0,0,0,0,0.07,5.00,79.99,467.98,62.03
13.073,13,285598134,771171423,237080,31,215,-799,0,0.00211,0.04010,-1.30995,0.00029,0.06943,0.00014,8.067,-30.082,0.019,2.160,-7.996,-0.008,7.58,8.28,284,100,0.01,0,0,0,0,0,0,0.07,5.00,79.99,448.99,61.21
13.093,13,285598154,771171340,237080,30,218,-809,0,0.00211,0.04655,-1.31000,0.00032,0.06257,0.00011,8.285,-30.896,0.020,2.185,-8.092,-0.008,7.74,8.38,284,100,0.01,0,0,0,0,0,0,0.07,5.00,79.99,442.18,60.37
13.112,13,285598173,771171256,237080,30,220,-818,0,0.00212,0.05204,-1.31006,0.00028,0.05163,0.00013,8.505,-31.713,0.019,2.210,-8.183,-0.008,7.86,8.48,284,100,0.01,0,0,0,0,0,0,0.08,5.00,79.99,426.20,59.52
13.129,13,285598193,771171171,237080,31,223,-827,0,0.00213,0.05629,-1.31011,0.00031,0.03852,0.00008,8.727,-32.543,0.019,2.233,-8.272,-0.008,8.02,8.57,284,100,0.01,0,0,0,0,0,0,0.08,5.00,79.99,413.64,58.66
13.149,13,285598214,771171085,237080,32,225,-835,0,0.00213,0.05916,-1.31015,0.00030,0.02445,0.00009,8.951,-33.380,0.018,2.256,-8.356,-0.008,8.09,8.66,284,100,0.01,0,0,0,0,0,0,0.08,5.00,79.99,398.28,57.79
13.172,13,285598234,771170999,237080,32,227,-843,0,0.00214,0.06066,-1.31019,0.00026,0.01128,0.00017,9.179,-34.228,0.018,2.278,-8.438,-0.007,8.22,8.74,284,100,0.01,0,0,0,0,0,0,0.08,5.00,79.99,391.06,56.91
13.190,13,285598254,771170912,237080,33,229,-851,0,0.00214,0.06102,-1.31025,0.00030,0.00053,0.00008,9.406,-35.076,0.017,2.300,-8.516,-0.007,8.37,8.82,284,100,0.01,0,0,0,0,0,0,0.08,5.00,79.99,377.70,56.04
13.209,13,285598275,771170824,237080,33,232,-859,0,0.00214,0.06050,-1.31030,0.00025,-0.00713,0.00014,9.638,-35.939,0.016,2.320,-8.593,-0.007,8.43,8.90,284,100,0.01,0,0,0,0,0,0,0.09,5.00,79.99,363.13,55.14
13.229,13,285598296,771170735,237080,34,234,-866,0,0.00214,0.05951,-1.31034,0.00029,-0.01105,0.00014,9.871,-36.808,0.016,2.341,-8.668,-0.007,8.42,8.98,284,100,0.01,0,0,0,0,0,0,0.09,5.00,79.99,356.69,54.24
13.253,13,285598317,771170646,237080,35,235,-873,0,0.00214,0.05843,-1.31037,0.00029,-0.01094,0.00011,10.104,-37.679,0.015,2.360,-8.739,-0.007,8.48,9.05,284,100,0.01,0,0,0,0,0,0,0.09,5.00,79.99,358.02,53.34
13.273,13,285598338,771170555,237080,35,237,-880,0,0.00214,0.05761,-1.31039,0.00027,-0.00772,0.00009,10.341,-38.562,0.014,2.379,-8.808,-0.007,8.58,9.12,284,100,0.01,0,0,0,0,0,0,0.09,5.00,79.99,351.79,52.42
13.292,13,285598360,771170466,237080,34,239,-887,0,0.00214,0.05727,-1.31040,0.00029,-0.00225,0.00009,10.578,-39.442,0.015,2.397,-8.875,-0.007,8.66,9.19,284,100,0.01,0,0,0,0,0,0,0.09,5.00,79.99,342.11,51.52
13.312,13,285598381,771170375,237080,34,241,-893,0,0.00214,0.05758,-1.31039,0.00029,0.00450,0.00016,10.816,-40.327,0.015,2.415,-8.940,-0.007,8.72,9.26,284,100,0.01,0,0,0,0,0,0,0.09,5.00,79.99,334.00,50.60
13.331,13,285598403,771170284,237080,34,243,-900,0,0.00214,0.05856,-1.31038,0.00030,0.01134,0.00015,11.055,-41.218,0.016,2.432,-9.003,-0.007,8.84,9.33,284,100,0.01,0,0,0,0,0,0,0.09,5.00,79.99,327.83,49.68
13.348,13,285598424,771170192,237080,33,244,-906,0,0.00214,0.06012,-1.31038,0.00029,0.01671,0.00014,11.296,-42.114,0.017,2.449,-9.064,-0.007,8.90,9.39,284,100,0.01,0,0,0,0,0,0,0.09,5.00,79.99,315.65,48.75
13.368,13,285598446,771170100,237080,32,246,-912,0,0.00212,0.06213,-1.31038,0.00023,0.02063,0.00005,11.538,-43.016,0.018,2.465,-9.123,-0.008,9.04,9.45,284,100,0.01,0,0,0,0,0,0,0.09,5.00,79.99,309.62,47.81
13.391,13,285598468,771170007,237080,32,248,-918,0,0.00210,0.06583,-1.31075,0.00074,0.05328,-0.00772,11.781,-43.925,0.018,2.480,-9.180,-0.008,9.08,9.51,284,100,0.01,0,0,0,0,0,0,0.09,5.00,79.99,295.60,46.87
13.411,13,285598490,771169913,237080,31,248,-923,0,0.00221,0.07383,-1.31202,0.00381,0.09905,-0.01539,12.026,-44.839,0.018,2.485,-9.237,0.001,9.18,9.57,284,100,-0.00,0,0,0,0,0,0,0.10,11.80,79.99,292.05,45.92
