wall_time_s,ardu_mode,lat_degE7,lon_degE7,alt_msl_mm,alt_agl_mm,vx_cmps,vy_cmps,vz_cmps,roll_rad,pitch_rad,yaw_rad,rollspeed_rps,pitchspeed_rps,yawspeed_rps,local_x_m,local_y_m,local_z_m,local_vx_mps,local_vy_mps,local_vz_mps,airspeed_mps,groundspeed_mps,heading_deg,throttle_pct,climb_mps,xacc_mg,yacc_mg,zacc_mg,xgyro_mradps,ygyro_mradps,zgyro_mradps,nav_roll_deg,nav_pitch_deg,alt_error_m,aspd_error_mps,xtrack_error_m
12.225,-1,0,0,0,0,0,0,0,0.00204,0.00185,-1.30622,0.00032,0.00032,0.00027,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
12.226,-1,285597410,771174500,236990,-56,0,1,0,0.00206,0.00187,-1.30620,0.00026,0.00037,0.00025,0.006,0.010,0.106,0.009,0.016,0.001,0.45,0.02,285,4,-0.00,0,0,0,0,0,0,0.00,4.99,100.06,-59.15,0.00
12.226,-1,285597410,771174500,236990,-54,0,1,0,0.00208,0.00189,-1.30617,0.00027,0.00035,0.00035,0.007,0.011,0.105,0.010,0.016,0.001,0.41,0.02,285,14,-0.00,0,0,0,0,0,0,0.00,4.99,100.06,251.73,0.00
12.226,-1,285597410,771174500,236990,-53,1,1,0,0.00209,0.00191,-1.30615,0.00024,0.00039,0.00023,0.007,0.011,0.104,0.011,0.012,0.000,0.38,0.02,285,24,-0.00,0,0,0,0,0,0,0.00,4.99,100.06,1958.58,0.00
12.227,-1,285597410,771174500,236990,-52,1,-1,0,0.00211,0.00192,-1.30612,0.00028,0.00028,0.00029,0.007,0.010,0.103,0.018,-0.014,0.000,0.56,0.02,285,34,-0.00,0,0,0,0,0,0,0.00,4.99,100.06,2962.40,0.00
12.227,-1,285597410,771174499,236990,-51,3,-8,0,0.00212,0.00193,-1.30610,0.00026,0.00033,0.00023,0.009,0.004,0.101,0.037,-0.082,-0.000,0.74,0.09,285,44,0.00,0,0,0,0,0,0,0.00,4.99,100.06,2943.88,0.00
12.227,-1,285597411,771174498,236990,-50,7,-21,0,0.00214,0.00192,-1.30608,0.00032,0.00033,0.00025,0.014,-0.011,0.101,0.072,-0.210,-0.001,0.57,0.22,285,54,0.00,0,0,0,0,0,0,0.00,4.99,100.06,2926.23,0.00
12.227,-1,285597412,771174495,236990,-50,12,-41,0,0.00215,0.00190,-1.30606,0.00032,0.00035,0.00025,0.023,-0.045,0.100,0.129,-0.420,-0.001,0.96,0.44,285,64,0.00,0,0,0,0,0,0,0.00,4.99,100.06,2943.04,0.00
12.228,-1,285597413,771174489,237000,-49,21,-72,0,0.00216,0.00184,-1.30605,0.00027,0.00035,0.00031,0.039,-0.103,0.100,0.213,-0.726,-0.002,0.47,0.76,285,74,0.00,0,0,0,0,0,0,0.00,4.99,100.05,2903.65,0.00
12.228,10,285597415,771174479,237000,-49,32,-115,0,0.00216,0.00179,-1.30605,0.00027,0.00032,0.00028,0.065,-0.201,0.100,0.328,-1.152,-0.002,0.34,1.20,285,84,0.00,0,0,0,0,0,0,0.00,4.99,100.05,2952.76,0.00
12.228,10,285597419,771174464,236990,-50,47,-170,0,0.00216,0.00166,-1.30610,0.00031,0.00033,0.00022,0.105,-0.346,0.100,0.479,-1.709,-0.003,1.03,1.78,285,94,0.00,0,0,0,0,0,0,0.00,6.06,100.06,2965.89,0.00
12.229,10,285597424,771174442,236990,-50,66,-238,0,0.00217,0.00153,-1.30615,0.00030,0.00024,0.00023,0.161,-0.558,0.100,0.663,-2.389,-0.004,1.57,2.48,285,100,0.00,0,0,0,0,0,0,0.00,8.50,100.06,2897.25,0.00
12.229,10,285597431,771174414,236990,-50,84,-307,0,0.00217,0.00136,-1.30630,0.00031,0.00025,0.00025,0.237,-0.838,0.100,0.849,-3.077,-0.005,2.20,3.19,285,100,0.01,0,0,0,0,0,0,0.00,9.47,100.06,2843.47,0.00
12.229,10,285597439,771174378,237000,-49,103,-376,0,0.00217,0.00121,-1.30646,0.00029,0.00033,0.00028,0.331,-1.191,0.100,1.035,-3.767,-0.006,2.41,3.91,285,100,0.01,0,0,0,0,0,0,0.00,9.60,100.05,2780.03,0.00
12.230,10,285597449,771174335,237000,-49,122,-445,0,0.00217,0.00103,-1.30674,0.00027,0.00026,0.00021,0.444,-1.610,0.100,1.221,-4.456,-0.006,3.19,4.62,285,100,0.01,0,0,0,0,0,0,0.00,9.64,100.05,2758.60,0.00
12.230,10,285597461,771174284,237000,-49,140,-513,0,0.00217,0.00089,-1.30701,0.00032,0.00024,0.00022,0.577,-2.105,0.100,1.402,-5.130,-0.006,3.60,5.32,285,100,0.01,0,0,0,0,0,0,0.00,9.73,100.05,2680.91,0.00
12.230,10,285597475,771174227,236990,-50,157,-576,0,0.00217,0.00060,-1.30743,0.00024,0.00027,0.00016,0.727,-2.662,0.100,1.571,-5.760,-0.005,4.30,5.97,285,100,0.01,0,0,0,0,0,0,0.00,8.79,100.06,2639.55,0.00
12.230,10,285597490,771174163,236990,-50,173,-638,0,0.00218,0.00036,-1.30776,0.00021,0.00024,0.00016,0.895,-3.287,0.101,1.736,-6.380,-0.004,4.84,6.61,285,100,0.00,0,0,0,0,0,0,-0.04,8.59,100.06,2569.84,0.00
12.231,10,285597506,771174093,236990,-50,189,-699,0,0.00219,0.00000,-1.30819,0.00025,0.00021,0.00012,1.079,-3.972,0.101,1.899,-6.992,-0.003,5.45,7.24,285,100,0.00,0,0,0,0,0,0,-0.04,8.42,100.06,2516.43,0.00
12.231,10,285597524,771174016,236990,-51,206,-761,0,0.00220,-0.00027,-1.30851,0.00031,0.00012,0.00013,1.280,-4.724,0.101,2.063,-7.611,-0.000,6.12,7.89,285,100,0.00,0,0,0,0,0,0,-0.04,8.51,100.06,2455.47,0.00
12.231,10,285597544,771173934,236990,-51,222,-822,0,0.00221,-0.00061,-1.30890,0.00025,0.00021,0.00016,1.495,-5.527,0.102,2.226,-8.226,0.002,6.72,8.52,285,100,-0.00,0,0,0,0,0,0,-0.03,8.64,100.06,2387.84,0.00
12.232,10,285597565,771173845,236990,-52,239,-884,0,0.00222,-0.00086,-1.30917,0.00029,0.00017,0.00015,1.729,-6.403,0.103,2.390,-8.849,0.004,7.36,9.17,285,100,-0.00,0,0,0,0,0,0,-0.02,8.71,100.06,2328.32,0.00
12.232,10,285597587,771173749,236990,-53,255,-946,0,0.00224,-0.00118,-1.30947,0.00032,0.00015,0.00016,1.978,-7.338,0.104,2.554,-9.466,0.007,7.96,9.80,284,100,-0.01,0,0,0,0,0,0,-0.01,8.68,100.06,2264.15,0.00
12.232,10,285597611,771173647,236990,-55,271,-1008,1,0.00226,-0.00141,-1.30967,0.00034,0.00016,0.00004,2.245,-8.338,0.105,2.716,-10.082,0.010,8.48,10.44,284,100,-0.01,0,0,0,0,0,0,0.00,8.61,100.06,2204.24,0.00
12.233,10,285597637,771173538,236990,-56,287,-1069,1,0.00229,-0.00152,-1.30984,0.00030,0.00015,0.00010,2.529,-9.402,0.106,2.878,-10.695,0.013,9.12,11.08,284,100,-0.01,0,0,0,0,0,0,0.00,8.51,100.06,2151.73,0.00
12.233,10,285597663,771173425,236990,-56,303,-1129,1,0.00231,-0.00154,-1.30996,0.00035,0.00018,0.00012,2.825,-10.510,0.107,3.037,-11.294,0.014,9.77,11.69,284,100,-0.01,0,0,0,0,0,0,0.00,8.40,100.06,2087.55,0.00
12.233,10,285597691,771173305,236990,-56,319,-1188,1,0.00234,-0.00148,-1.31008,0.00031,0.00020,0.00014,3.136,-11.676,0.107,3.194,-11.886,0.016,10.36,12.31,284,100,-0.02,0,0,0,0,0,0,0.01,8.26,100.06,2022.56,0.00
12.233,10,285597720,771173181,236990,-57,334,-1247,1,0.00237,-0.00140,-1.31016,0.00035,0.00015,0.00008,3.461,-12.895,0.107,3.349,-12.471,0.016,10.92,12.91,284,100,-0.02,0,0,0,0,0,0,0.01,8.12,100.06,1963.81,0.00
12.243,10,285597751,771173050,236990,-57,350,-1304,1,0.00239,-0.00131,-1.31026,0.00029,0.00016,0.00013,3.802,-14.172,0.107,3.503,-13.049,0.017,11.50,13.51,284,100,-0.02,0,0,0,0,0,0,0.02,7.97,100.06,1908.27,0.00
12.262,10,285597783,771172914,236990,-57,365,-1362,1,0.00242,-0.00122,-1.31033,0.00027,0.00018,0.00007,4.158,-15.503,0.108,3.655,-13.621,0.017,12.10,14.10,284,100,-0.02,0,0,0,0,0,0,0.03,7.80,100.06,1849.66,0.00
12.310,10,285597816,771172772,236990,-58,380,-1418,1,0.00244,-0.00113,-1.31041,0.00028,0.00019,0.00011,4.529,-16.891,0.109,3.805,-14.187,0.017,12.68,14.69,284,100,-0.02,0,0,0,0,0,0,0.03,7.63,100.06,1790.08,0.00
12.313,10,285597851,771172624,236990,-57,395,-1474,1,0.00247,-0.00105,-1.31048,0.00031,0.00012,0.00012,4.914,-18.333,0.107,3.954,-14.745,0.016,13.26,15.27,284,100,-0.02,0,0,0,0,0,0,0.03,7.45,100.06,1731.57,0.00
12.359,10,285597887,771172471,236990,-55,410,-1529,1,0.00249,-0.00096,-1.31054,0.00032,0.00012,0.00012,5.314,-19.832,0.106,4.101,-15.297,0.016,13.81,15.84,284,100,-0.02,0,0,0,0,0,0,0.04,7.27,100.06,1673.72,0.00
12.362,10,285597924,771172312,236990,-54,424,-1584,1,0.00252,-0.00089,-1.31058,0.00027,0.00021,0.00009,5.728,-21.383,0.105,4.246,-15.842,0.015,14.39,16.40,284,100,-0.02,0,0,0,0,0,0,0.04,7.09,100.06,1619.40,0.00
12.365,10,285597963,771172148,236990,-55,439,-1638,1,0.00255,-0.00081,-1.31062,0.00032,0.00021,0.00018,6.158,-22.990,0.106,4.390,-16.381,0.015,14.98,16.96,284,100,-0.01,0,0,0,0,0,0,0.06,6.90,100.06,1560.67,0.00
12.384,10,285598002,771171979,236990,-56,453,-1691,1,0.00258,-0.00074,-1.31063,0.00032,0.00020,0.00014,6.601,-24.648,0.107,4.532,-16.913,0.014,15.55,17.51,284,100,-0.01,0,0,0,0,0,0,0.06,6.71,100.06,1502.04,0.00
12.402,10,285598044,771171802,236990,-58,467,-1744,1,0.00261,-0.00089,-1.31063,0.00034,0.00015,0.00012,7.064,-26.379,0.108,4.675,-17.445,0.014,16.09,18.06,284,100,-0.01,0,0,0,0,0,0,0.06,6.53,100.06,1444.86,0.00
12.427,10,285598087,771171619,236980,-62,481,-1797,1,0.00264,-0.00105,-1.31063,0.00035,0.00023,0.00010,7.542,-28.161,0.112,4.816,-17.972,0.017,16.63,18.61,284,100,-0.02,0,0,0,0,0,0,0.06,6.34,100.07,1391.14,0.00
12.478,10,285598131,771171432,236980,-66,495,-1849,1,0.00267,-0.00133,-1.31064,0.00031,0.00020,0.00010,8.033,-29.995,0.117,4.956,-18.492,0.019,17.18,19.14,284,100,-0.02,0,0,0,0,0,0,0.06,6.16,100.07,1337.02,0.00
12.481,10,285598177,771171238,236970,-71,509,-1900,2,0.00270,-0.00154,-1.31065,0.00034,0.00017,0.00010,8.540,-31.888,0.121,5.095,-19.009,0.023,17.73,19.68,284,100,-0.02,0,0,0,0,0,0,0.07,5.98,100.08,1282.05,0.00
12.484,10,285598223,771171040,236970,-74,523,-1951,2,0.00273,-0.00177,-1.31066,0.00030,0.00018,0.00008,9.060,-33.829,0.124,5.231,-19.518,0.025,18.25,20.21,284,100,-0.03,0,0,0,0,0,0,0.07,5.81,100.08,1226.80,0.00
12.503,10,285598271,771170837,236970,-75,536,-2001,2,0.00276,-0.00192,-1.31067,0.00030,0.00039,0.00013,9.590,-35.808,0.126,5.366,-20.018,0.028,18.75,20.72,284,100,-0.03,0,0,0,0,0,0,0.07,5.63,100.08,1174.72,0.00
12.559,10,285598320,771170628,236970,-77,549,-2051,3,0.00279,-0.00158,-1.31069,0.00027,0.00954,0.00010,10.138,-37.850,0.128,5.499,-20.513,0.030,19.26,21.24,284,100,-0.03,0,0,0,0,0,0,0.07,5.46,100.08,1124.73,0.00
12.561,10,285598371,771170414,236970,-78,563,-2100,3,0.00282,0.00035,-1.31070,0.00028,0.02821,0.00010,10.698,-39.943,0.129,5.631,-21.004,0.033,19.78,21.75,284,100,-0.03,0,0,0,0,0,0,0.07,5.30,100.08,1074.16,0.00
12.564,10,285598422,771170196,236960,-80,575,-2148,3,0.00285,0.00482,-1.31070,0.00030,0.05312,0.00008,11.271,-42.080,0.131,5.760,-21.483,0.034,20.26,22.24,284,100,-0.03,0,0,0,0,0,0,0.07,5.12,100.09,1022.53,0.00
12.583,10,285598475,771169972,236960,-81,588,-2194,3,0.00288,0.01209,-1.31068,0.00029,0.08196,0.00005,11.856,-44.262,0.131,5.885,-21.947,0.032,20.75,22.72,284,100,-0.03,0,0,0,0,0,0,0.08,4.99,100.09,973.95,0.00
12.608,10,285598528,771169746,236960,-82,600,-2239,3,0.00291,0.02272,-1.31065,0.00032,0.11647,0.00005,12.449,-46.474,0.133,6.006,-22.396,0.031,21.20,23.19,284,100,-0.03,0,0,0,0,0,0,0.08,5.46,100.09,924.68,0.00
12.626,10,285598582,771169517,236960,-81,612,-2282,2,0.00294,0.03704,-1.31061,0.00031,0.15494,0.00011,13.050,-48.717,0.131,6.121,-22.826,0.027,21.64,23.63,284,100,-0.03,0,0,0,0,0,0,0.08,5.88,100.09,880.26,0.00
12.645,10,285598637,771169283,236960,-81,623,-2324,2,0.00297,0.05533,-1.31057,0.00036,0.19407,0.00013,13.664,-51.006,0.131,6.233,-23.241,0.024,22.12,24.06,284,100,-0.02,0,0,0,0,0,0,0.08,6.20,100.09,836.14,0.00
12.662,10,285598693,771169045,236960,-80,633,-2362,1,0.00300,0.07731,-1.31053,0.00032,0.23029,0.00009,14.285,-53.326,0.130,6.338,-23.629,0.018,22.56,24.46,284,100,-0.02,0,0,0,0,0,0,0.08,6.43,100.09,788.41,0.00
12.686,10,285598750,771168804,236960,-81,643,-2399,1,0.00303,0.10257,-1.31049,0.00035,0.26039,0.00003,14.918,-55.690,0.131,6.436,-23.994,0.015,22.98,24.84,284,100,-0.01,0,0,0,0,0,0,0.07,6.53,100.09,743.58,0.00
12.705,10,285598807,771168559,236970,-78,652,-2432,0,0.00307,0.13022,-1.31043,0.00038,0.28107,0.00008,15.558,-58.080,0.129,6.524,-24.320,0.009,23.37,25.18,284,100,-0.01,0,0,0,0,0,0,0.07,6.48,100.08,701.70,0.00
12.758,10,285598866,771168311,236970,-77,660,-2460,0,0.00306,0.15951,-1.31034,-0.00103,0.29279,0.00010,16.209,-60.508,0.127,6.602,-24.609,0.005,23.78,25.48,284,100,-0.01,0,0,0,0,0,0,0.07,6.27,100.08,662.60,0.00
12.761,10,285598925,771168061,236970,-72,666,-2484,-2,0.00285,0.18530,-1.31026,-0.00286,0.22513,0.00017,16.865,-62.955,0.122,6.667,-24.846,-0.029,24.10,25.72,284,100,0.03,0,0,0,0,0,0,0.06,5.91,100.08,622.19,0.00
12.764,10,285598984,771167808,236990,-58,672,-2503,-16,0.00248,0.20246,-1.31020,-0.00423,0.13243,0.00025,17.529,-65.430,0.109,6.720,-25.038,-0.163,24.42,25.92,284,100,0.16,0,0,0,0,0,0,0.06,5.66,100.06,589.61,0.00
12.782,10,285599044,771167553,237020,-26,676,-2519,-36,0.00204,0.21101,-1.31016,-0.00452,0.05466,0.00013,18.196,-67.916,0.076,6.763,-25.195,-0.362,24.68,26.09,284,100,0.36,0,0,0,0,0,0,0.06,5.66,100.03,558.26,0.00
12.807,10,285599105,771167297,237070,25,680,-2533,-58,0.00155,0.21440,-1.31021,-0.00468,0.02046,-0.00129,18.869,-70.424,0.024,6.803,-25.337,-0.581,24.92,26.23,284,100,0.58,0,0,0,0,0,0,0.04,5.80,99.98,531.74,0.00
12.825,10,285599166,771167037,237150,101,684,-2547,-78,0.00099,0.21049,-1.31055,-0.00488,-0.07974,-0.00542,19.550,-72.962,-0.052,6.842,-25.471,-0.790,25.04,26.37,284,100,0.79,0,0,0,0,0,0,0.04,6.01,99.90,508.39,0.00
12.844,10,285599227,771166777,237250,204,688,-2559,-112,0.00030,0.20541,-1.31134,-0.00521,-0.05457,-0.00852,20.231,-75.501,-0.155,6.882,-25.592,-1.127,25.16,26.50,284,100,1.13,0,0,0,0,0,0,0.06,6.35,99.80,496.34,0.00
12.899,10,285599289,771166515,237380,332,692,-2574,-131,-0.00035,0.20556,-1.31239,-0.00376,0.01687,-0.01110,20.922,-78.070,-0.282,6.928,-25.747,-1.315,25.88,26.66,284,100,1.32,0,0,0,0,0,0,0.13,6.73,99.67,484.12,0.00
12.902,10,285599351,771166250,237510,467,697,-2592,-135,-0.00088,0.21243,-1.31375,-0.00119,0.02190,-0.01411,21.618,-80.658,-0.418,6.977,-25.923,-1.360,25.51,26.85,284,100,1.36,0,0,0,0,0,0,0.21,7.08,99.54,411.70,0.00
12.905,10,285599415,771165983,237650,602,702,-2608,-150,-0.00112,0.21322,-1.31541,0.00283,0.05370,-0.01800,22.321,-83.273,-0.552,7.022,-26.083,-1.500,26.10,27.01,284,100,1.50,0,0,0,0,0,0,0.33,7.06,99.40,449.04,0.00
12.924,10,285599478,771165716,237800,758,707,-2624,-159,-0.00099,0.22124,-1.31748,0.00811,0.06255,-0.02079,23.022,-85.879,-0.708,7.070,-26.242,-1.592,26.24,27.18,284,100,1.59,0,0,0,0,0,0,0.48,7.65,99.25,390.46,0.00
12.942,10,285599542,771165445,237970,922,710,-2638,-167,-0.00037,0.21537,-1.31987,0.01384,-0.10572,-0.02446,23.734,-88.527,-0.872,7.109,-26.387,-1.678,26.22,27.33,284,100,1.68,0,0,0,0,0,0,0.67,7.47,99.08,375.94,0.00
12.962,10,285599606,771165174,238170,1120,714,-2649,-211,0.00089,0.22013,-1.32260,0.02192,0.14143,-0.02793,24.448,-91.183,-1.071,7.141,-26.496,-2.115,26.52,27.44,284,100,2.12,0,0,0,0,0,0,0.89,8.11,98.88,377.83,0.00
12.985,10,285599670,771164900,238380,1334,719,-2669,-191,0.00292,0.23177,-1.32558,0.03008,0.07531,-0.02981,25.168,-93.858,-1.285,7.198,-26.699,-1.919,26.80,27.65,284,100,1.92,0,0,0,0,0,0,1.15,8.21,98.67,347.75,0.00
