wall_time_s,ardu_mode,lat_degE7,lon_degE7,alt_msl_mm,alt_agl_mm,vx_cmps,vy_cmps,vz_cmps,roll_rad,pitch_rad,yaw_rad,rollspeed_rps,pitchspeed_rps,yawspeed_rps,local_x_m,local_y_m,local_z_m,local_vx_mps,local_vy_mps,local_vz_mps,airspeed_mps,groundspeed_mps,heading_deg,throttle_pct,climb_mps,xacc_mg,yacc_mg,zacc_mg,xgyro_mradps,ygyro_mradps,zgyro_mradps,nav_roll_deg,nav_pitch_deg,alt_error_m,aspd_error_mps,xtrack_error_m
13.419,-1,0,0,0,0,0,0,0,0.00193,0.00174,-1.30641,0.00030,0.00031,0.00030,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
13.419,-1,285597410,771174499,237160,108,0,1,-1,0.00195,0.00176,-1.30638,0.00035,0.00028,0.00030,0.005,0.009,-0.069,0.008,0.014,-0.014,0.51,0.02,285,0,0.01,0,0,0,0,0,0,0.00,4.99,99.90,-83.69,0.00
13.420,10,285597410,771174499,237170,110,0,1,-1,0.00197,0.00178,-1.30636,0.00029,0.00033,0.00024,0.005,0.009,-0.070,0.008,0.014,-0.014,0.92,0.02,285,8,0.01,0,0,0,0,0,0,0.00,4.99,99.89,-51.46,0.00
13.420,10,285597410,771174499,237170,110,0,1,-1,0.00199,0.00179,-1.30634,0.00035,0.00035,0.00028,0.006,0.010,-0.071,0.009,0.014,-0.013,0.72,0.02,285,18,0.01,0,0,0,0,0,0,0.00,4.99,99.89,205.04,0.00
13.420,10,285597410,771174499,237170,111,1,0,-1,0.00200,0.00181,-1.30631,0.00029,0.00031,0.00022,0.006,0.010,-0.071,0.012,0.004,-0.013,0.87,0.01,285,28,0.01,0,0,0,0,0,0,0.00,4.99,99.89,1928.44,0.00
13.420,10,285597410,771174499,237170,111,2,-3,-1,0.00202,0.00182,-1.30629,0.00029,0.00032,0.00026,0.007,0.007,-0.071,0.023,-0.037,-0.013,0.89,0.04,285,38,0.01,0,0,0,0,0,0,0.00,4.99,99.89,2913.05,0.00
13.421,10,285597410,771174499,237170,111,4,-12,-1,0.00204,0.00183,-1.30627,0.00023,0.00033,0.00020,0.010,-0.002,-0.072,0.048,-0.126,-0.013,0.36,0.14,285,48,0.01,0,0,0,0,0,0,0.00,4.99,99.89,2911.13,0.00
13.421,10,285597411,771174497,237170,111,9,-28,-1,0.00205,0.00182,-1.30625,0.00028,0.00033,0.00025,0.016,-0.024,-0.072,0.091,-0.286,-0.013,0.41,0.30,285,58,0.01,0,0,0,0,0,0,0.00,4.99,99.89,2963.73,0.00
13.421,10,285597412,771174493,237170,111,15,-53,-1,0.00206,0.00178,-1.30624,0.00029,0.00029,0.00025,0.028,-0.066,-0.071,0.158,-0.532,-0.013,0.74,0.56,285,68,0.01,0,0,0,0,0,0,0.00,4.99,99.89,2959.02,0.00
13.422,10,285597414,771174485,237170,111,25,-88,-1,0.00206,0.00170,-1.30624,0.00032,0.00029,0.00028,0.048,-0.141,-0.071,0.254,-0.886,-0.013,0.89,0.92,285,78,0.01,0,0,0,0,0,0,0.00,4.99,99.89,2926.43,0.00
13.422,10,285597417,771174473,237170,112,38,-136,-1,0.00207,0.00157,-1.30625,0.00026,0.00028,0.00031,0.079,-0.257,-0.072,0.383,-1.362,-0.014,0.59,1.42,285,88,0.01,0,0,0,0,0,0,0.00,4.99,99.89,2910.94,0.00
13.422,10,285597421,771174455,237170,113,55,-198,-1,0.00208,0.00138,-1.30630,0.00036,0.00029,0.00027,0.126,-0.431,-0.073,0.551,-1.982,-0.015,0.73,2.06,285,98,0.01,0,0,0,0,0,0,0.00,6.06,99.89,2941.35,0.00
13.422,10,285597427,771174431,237170,114,73,-266,-1,0.00208,0.00116,-1.30639,0.00029,0.00031,0.00018,0.190,-0.671,-0.074,0.736,-2.668,-0.015,1.38,2.77,285,100,0.02,0,0,0,0,0,0,0.00,8.43,99.89,2927.44,0.00
13.423,10,285597434,771174399,237170,114,92,-336,-1,0.00209,0.00088,-1.30654,0.00031,0.00023,0.00025,0.275,-0.986,-0.075,0.924,-3.361,-0.015,1.86,3.49,285,100,0.02,0,0,0,0,0,0,0.00,9.38,99.89,2862.28,0.00
13.423,10,285597443,771174359,237170,115,111,-405,-1,0.00209,0.00066,-1.30670,0.00031,0.00027,0.00023,0.378,-1.370,-0.076,1.111,-4.054,-0.015,2.29,4.20,285,100,0.02,0,0,0,0,0,0,0.00,9.46,99.89,2813.87,0.00
13.423,10,285597454,771174313,237170,116,129,-474,-1,0.00210,0.00047,-1.30698,0.00026,0.00025,0.00021,0.500,-1.823,-0.076,1.297,-4.746,-0.015,2.80,4.92,285,100,0.01,0,0,0,0,0,0,0.00,9.52,99.89,2770.82,0.00
13.424,10,285597467,771174260,237170,117,147,-540,-1,0.00211,0.00034,-1.30725,0.00032,0.00026,0.00014,0.641,-2.346,-0.078,1.474,-5.403,-0.014,3.54,5.60,285,100,0.01,0,0,0,0,0,0,0.00,9.58,99.89,2719.72,0.00
13.424,10,285597481,771174200,237170,118,164,-603,-1,0.00212,0.00023,-1.30762,0.00035,0.00027,0.00021,0.797,-2.928,-0.079,1.643,-6.035,-0.013,4.09,6.25,285,100,0.01,0,0,0,0,0,0,0.00,8.80,99.89,2646.38,0.00
13.424,10,285597497,771174134,237170,119,180,-665,-1,0.00213,0.00016,-1.30795,0.00029,0.00025,0.00015,0.970,-3.572,-0.080,1.808,-6.653,-0.013,4.86,6.89,285,100,0.01,0,0,0,0,0,0,-0.05,8.64,99.89,2590.66,0.00
13.424,10,285597514,771174062,237170,119,197,-727,-1,0.00214,0.00008,-1.30833,0.00027,0.00024,0.00012,1.159,-4.276,-0.080,1.972,-7.272,-0.012,5.51,7.54,285,100,0.01,0,0,0,0,0,0,-0.04,8.54,99.89,2514.49,0.00
13.425,10,285597532,771173984,237180,120,213,-789,-1,0.00216,0.00001,-1.30864,0.00025,0.00022,0.00011,1.365,-5.042,-0.080,2.138,-7.896,-0.011,6.02,8.18,285,100,0.01,0,0,0,0,0,0,-0.04,8.68,99.88,2448.84,0.00
13.425,10,285597552,771173899,237180,120,230,-852,0,0.00218,-0.00008,-1.30896,0.00037,0.00025,0.00012,1.586,-5.871,-0.080,2.304,-8.523,-0.010,6.66,8.83,285,100,0.01,0,0,0,0,0,0,-0.03,8.82,99.88,2397.88,0.00
13.425,10,285597573,771173808,237170,119,246,-914,0,0.00220,-0.00015,-1.30921,0.00032,0.00025,0.00013,1.824,-6.762,-0.079,2.470,-9.148,-0.009,7.29,9.48,285,100,0.01,0,0,0,0,0,0,-0.02,8.89,99.89,2333.98,0.00
13.426,10,285597596,771173710,237170,118,263,-976,0,0.00221,-0.00024,-1.30948,0.00029,0.00021,0.00008,2.079,-7.714,-0.078,2.634,-9.770,-0.008,7.99,10.12,284,100,0.01,0,0,0,0,0,0,-0.01,8.86,99.89,2270.76,0.00
13.426,10,285597621,771173607,237170,117,279,-1038,0,0.00223,-0.00031,-1.30969,0.00028,0.00022,0.00008,2.349,-8.729,-0.078,2.797,-10.388,-0.006,8.64,10.76,284,100,0.01,0,0,0,0,0,0,-0.01,8.80,99.89,2201.43,0.00
13.479,10,285597646,771173497,237170,116,295,-1100,0,0.00225,-0.00039,-1.30989,0.00030,0.00019,0.00012,2.636,-9.804,-0.077,2.959,-11.001,-0.005,9.30,11.39,284,100,0.01,0,0,0,0,0,0,0.00,8.72,99.89,2135.95,0.00
13.481,10,285597673,771173381,237170,116,311,-1160,0,0.00228,-0.00045,-1.31004,0.00028,0.00019,0.00006,2.938,-10.941,-0.077,3.120,-11.610,-0.004,9.84,12.02,284,100,0.00,0,0,0,0,0,0,0.00,8.61,99.89,2070.09,0.00
