wall_time_s,ardu_mode,lat_degE7,lon_degE7,alt_msl_mm,alt_agl_mm,vx_cmps,vy_cmps,vz_cmps,roll_rad,pitch_rad,yaw_rad,rollspeed_rps,pitchspeed_rps,yawspeed_rps,local_x_m,local_y_m,local_z_m,local_vx_mps,local_vy_mps,local_vz_mps,airspeed_mps,groundspeed_mps,heading_deg,throttle_pct,climb_mps,xacc_mg,yacc_mg,zacc_mg,xgyro_mradps,ygyro_mradps,zgyro_mradps,nav_roll_deg,nav_pitch_deg,alt_error_m,aspd_error_mps,xtrack_error_m
13.437,-1,0,0,0,0,0,0,0,0.00203,0.00183,-1.30628,0.00029,0.00037,0.00022,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
13.438,-1,285597410,771174500,237150,98,0,1,-1,0.00204,0.00184,-1.30626,0.00034,0.00033,0.00021,0.006,0.011,-0.059,0.009,0.016,-0.011,0.42,0.02,285,6,0.01,0,0,0,0,0,0,0.00,4.99,99.91,-36.12,0.00
13.438,-1,285597410,771174500,237150,97,0,1,-1,0.00205,0.00186,-1.30624,0.00026,0.00038,0.00029,0.007,0.011,-0.057,0.010,0.016,-0.010,0.71,0.02,285,16,0.01,0,0,0,0,0,0,0.00,4.99,99.91,254.50,0.00
13.438,-1,285597410,771174500,237150,96,1,0,0,0.00206,0.00187,-1.30621,0.00032,0.00036,0.00029,0.007,0.011,-0.056,0.012,0.009,-0.010,0.81,0.01,285,26,0.01,0,0,0,0,0,0,0.00,4.99,99.91,1929.41,0.00
13.439,-1,285597410,771174499,237150,96,2,-2,0,0.00208,0.00188,-1.30619,0.00030,0.00026,0.00026,0.008,0.009,-0.056,0.021,-0.024,-0.010,0.29,0.03,285,36,0.01,0,0,0,0,0,0,0.00,4.99,99.91,2919.37,0.00
13.439,-1,285597410,771174499,237150,96,4,-10,0,0.00209,0.00187,-1.30616,0.00031,0.00031,0.00030,0.010,0.002,-0.057,0.042,-0.102,-0.010,0.57,0.11,285,46,0.01,0,0,0,0,0,0,0.00,4.99,99.91,2971.11,0.00
13.439,10,285597411,771174498,237150,97,8,-24,0,0.00210,0.00186,-1.30615,0.00027,0.00031,0.00025,0.015,-0.017,-0.057,0.081,-0.244,-0.010,0.28,0.26,285,56,0.01,0,0,0,0,0,0,0.00,4.99,99.91,2942.62,0.00
13.439,10,285597412,771174494,237150,97,14,-47,-1,0.00211,0.00180,-1.30613,0.00028,0.00030,0.00026,0.026,-0.054,-0.057,0.143,-0.472,-0.010,0.55,0.49,285,66,0.01,0,0,0,0,0,0,0.00,4.99,99.91,2972.02,0.00
13.440,10,285597413,771174487,237150,97,23,-80,-1,0.00212,0.00176,-1.30612,0.00033,0.00031,0.00029,0.044,-0.121,-0.058,0.233,-0.802,-0.011,0.53,0.83,285,76,0.01,0,0,0,0,0,0,0.00,4.99,99.91,2944.50,0.00
13.440,10,285597416,771174476,237150,98,35,-125,-1,0.00213,0.00165,-1.30614,0.00028,0.00030,0.00027,0.073,-0.226,-0.059,0.355,-1.252,-0.011,0.43,1.30,285,86,0.01,0,0,0,0,0,0,0.00,4.99,99.91,2946.68,0.00
13.440,10,285597420,771174460,237160,100,51,-184,-1,0.00213,0.00156,-1.30616,0.00028,0.00033,0.00029,0.116,-0.387,-0.060,0.516,-1.846,-0.012,0.53,1.92,285,96,0.01,0,0,0,0,0,0,0.00,6.06,99.90,2957.31,0.00
13.441,10,285597425,771174437,237160,101,70,-253,-1,0.00213,0.00137,-1.30626,0.00033,0.00031,0.00026,0.177,-0.612,-0.061,0.702,-2.532,-0.013,0.54,2.63,285,100,0.01,0,0,0,0,0,0,0.00,8.42,99.90,2946.65,0.00
13.441,10,285597433,771174407,237160,102,88,-322,-1,0.00214,0.00121,-1.30636,0.00032,0.00025,0.00025,0.257,-0.909,-0.063,0.889,-3.222,-0.014,1.72,3.34,285,100,0.01,0,0,0,0,0,0,0.00,9.06,99.90,2946.15,0.00
13.441,10,285597441,771174369,237160,104,107,-391,-1,0.00214,0.00101,-1.30662,0.00036,0.00025,0.00020,0.356,-1.274,-0.064,1.075,-3.911,-0.014,2.40,4.06,285,100,0.01,0,0,0,0,0,0,0.00,9.26,99.90,2828.36,0.00
13.442,10,285597452,771174325,237160,104,126,-460,-1,0.00214,0.00087,-1.30684,0.00027,0.00025,0.00014,0.473,-1.710,-0.065,1.260,-4.602,-0.014,2.79,4.77,285,100,0.01,0,0,0,0,0,0,0.00,9.48,99.90,2760.30,0.00
13.442,10,285597464,771174273,237160,105,143,-526,-1,0.00213,0.00070,-1.30723,0.00030,0.00027,0.00019,0.608,-2.213,-0.066,1.437,-5.260,-0.014,3.49,5.45,285,100,0.01,0,0,0,0,0,0,0.00,9.60,99.90,2721.23,0.00
13.442,10,285597478,771174215,237160,105,160,-589,-1,0.00214,0.00058,-1.30754,0.00029,0.00024,0.00019,0.760,-2.781,-0.065,1.605,-5.890,-0.013,4.15,6.10,285,100,0.01,0,0,0,0,0,0,0.00,8.77,99.90,2651.24,0.00
13.442,10,285597493,771174151,237160,105,176,-650,-1,0.00214,0.00043,-1.30798,0.00026,0.00021,0.00011,0.928,-3.410,-0.065,1.769,-6.505,-0.012,4.90,6.74,285,100,0.01,0,0,0,0,0,0,0.00,8.62,99.90,2584.93,0.00
13.443,10,285597509,771174080,237160,105,193,-711,-1,0.00214,0.00032,-1.30831,0.00026,0.00026,0.00014,1.113,-4.102,-0.065,1.931,-7.118,-0.011,5.57,7.38,285,100,0.01,0,0,0,0,0,0,-0.04,8.51,99.90,2510.00,0.00
13.443,10,285597528,771174003,237160,104,209,-773,-1,0.00215,0.00019,-1.30870,0.00028,0.00022,0.00018,1.314,-4.854,-0.065,2.095,-7.735,-0.010,6.24,8.01,285,100,0.01,0,0,0,0,0,0,-0.03,8.64,99.90,2443.10,0.00
13.444,10,285597547,771173920,237160,104,225,-835,0,0.00216,0.00010,-1.30897,0.00032,0.00021,0.00011,1.531,-5.668,-0.065,2.259,-8.356,-0.009,6.73,8.66,285,100,0.01,0,0,0,0,0,0,-0.02,8.79,99.90,2376.11,0.00
13.444,10,285597568,771173830,237160,104,242,-897,0,0.00217,-0.00003,-1.30926,0.00023,0.00024,0.00012,1.764,-6.543,-0.064,2.423,-8.975,-0.008,7.41,9.30,285,100,0.01,0,0,0,0,0,0,-0.02,8.85,99.90,2326.76,0.00
13.446,10,285597591,771173734,237160,103,258,-959,0,0.00220,-0.00016,-1.30948,0.00029,0.00022,0.00006,2.016,-7.488,-0.064,2.587,-9.596,-0.007,7.93,9.94,284,100,0.01,0,0,0,0,0,0,-0.01,8.81,99.90,2258.51,0.00
13.446,10,285597615,771173631,237160,100,274,-1021,0,0.00222,-0.00045,-1.30969,0.00029,0.00019,0.00012,2.284,-8.492,-0.061,2.749,-10.211,-0.004,8.58,10.57,284,100,0.00,0,0,0,0,0,0,0.00,8.73,99.90,2206.69,0.00
13.446,10,285597640,771173521,237150,99,291,-1082,0,0.00224,-0.00073,-1.30985,0.00030,0.00020,0.00008,2.569,-9.562,-0.060,2.911,-10.824,-0.002,9.15,11.21,284,100,0.00,0,0,0,0,0,0,0.00,8.62,99.91,2142.03,0.00
13.447,10,285597667,771173406,237150,99,307,-1143,0,0.00226,-0.00110,-1.31002,0.00029,0.00015,0.00018,2.871,-10.695,-0.060,3.073,-11.433,0.001,9.75,11.84,284,100,-0.00,0,0,0,0,0,0,0.00,8.50,99.91,2085.37,0.00
13.450,10,285597696,771173283,237150,98,323,-1203,0,0.00229,-0.00141,-1.31014,0.00031,0.00015,0.00005,3.190,-11.890,-0.059,3.233,-12.039,0.005,10.40,12.47,284,100,-0.01,0,0,0,0,0,0,0.01,8.37,99.91,2024.76,0.00
13.464,10,285597726,771173156,237150,98,339,-1263,0,0.00231,-0.00175,-1.31025,0.00030,0.00008,0.00008,3.522,-13.135,-0.058,3.391,-12.634,0.009,10.99,13.08,284,100,-0.01,0,0,0,0,0,0,0.02,8.23,99.91,1960.33,0.00
13.525,10,285597757,771173022,237150,97,354,-1322,1,0.00234,-0.00201,-1.31032,0.00027,0.00014,0.00008,3.873,-14.450,-0.057,3.549,-13.229,0.012,11.61,13.70,284,100,-0.01,0,0,0,0,0,0,0.02,8.08,99.91,1900.90,0.00
13.528,10,285597790,771172881,237150,95,370,-1381,1,0.00237,-0.00227,-1.31038,0.00035,0.00016,0.00008,4.240,-15.823,-0.056,3.706,-13.818,0.016,12.20,14.31,284,100,-0.02,0,0,0,0,0,0,0.03,7.92,99.91,1839.04,0.00
13.531,10,285597825,771172735,237150,94,386,-1440,2,0.00240,-0.00245,-1.31041,0.00027,0.00010,0.00004,4.623,-17.255,-0.054,3.861,-14.401,0.020,12.73,14.91,284,100,-0.02,0,0,0,0,0,0,0.03,7.75,99.91,1780.27,0.00
