wall_time_s,ardu_mode,lat_degE7,lon_degE7,alt_msl_mm,alt_agl_mm,vx_cmps,vy_cmps,vz_cmps,roll_rad,pitch_rad,yaw_rad,rollspeed_rps,pitchspeed_rps,yawspeed_rps,local_x_m,local_y_m,local_z_m,local_vx_mps,local_vy_mps,local_vz_mps,airspeed_mps,groundspeed_mps,heading_deg,throttle_pct,climb_mps,xacc_mg,yacc_mg,zacc_mg,xgyro_mradps,ygyro_mradps,zgyro_mradps,nav_roll_deg,nav_pitch_deg,alt_error_m,aspd_error_mps,xtrack_error_m
13.440,-1,0,0,0,0,0,0,0,0.00194,0.00175,-1.30637,0.00031,0.00027,0.00021,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
13.440,-1,285597410,771174499,236870,-176,0,1,0,0.00196,0.00176,-1.30635,0.00033,0.00035,0.00026,0.005,0.009,0.226,0.008,0.014,0.010,0.89,0.02,285,6,-0.01,0,0,0,0,0,0,0.00,4.99,100.18,-86.93,0.00
13.440,-1,285597410,771174499,236870,-178,0,1,1,0.00198,0.00179,-1.30633,0.00029,0.00037,0.00022,0.005,0.009,0.228,0.008,0.014,0.010,0.36,0.02,285,16,-0.01,0,0,0,0,0,0,0.00,4.99,100.18,207.73,0.00
13.441,-1,285597410,771174499,236860,-180,1,0,1,0.00200,0.00180,-1.30631,0.00034,0.00033,0.00021,0.006,0.009,0.230,0.011,0.007,0.010,0.42,0.01,285,26,-0.01,0,0,0,0,0,0,0.00,4.99,100.19,1963.90,0.00
13.441,-1,285597410,771174499,236860,-182,1,-2,1,0.00201,0.00182,-1.30628,0.00026,0.00038,0.00029,0.006,0.007,0.232,0.020,-0.026,0.010,0.71,0.03,285,36,-0.01,0,0,0,0,0,0,0.00,4.99,100.19,2957.89,0.00
13.442,-1,285597410,771174499,236860,-183,4,-10,0,0.00203,0.00182,-1.30626,0.00031,0.00036,0.00029,0.009,-0.000,0.233,0.041,-0.104,0.010,0.81,0.11,285,46,-0.01,0,0,0,0,0,0,0.00,4.99,100.19,2929.39,0.00
13.442,-1,285597411,771174498,236860,-183,8,-24,0,0.00204,0.00181,-1.30624,0.00030,0.00025,0.00025,0.014,-0.019,0.234,0.080,-0.248,0.010,0.28,0.26,285,56,-0.01,0,0,0,0,0,0,0.00,4.99,100.19,2919.29,0.00
13.442,-1,285597412,771174494,236860,-184,14,-47,0,0.00206,0.00177,-1.30622,0.00031,0.00031,0.00030,0.025,-0.057,0.234,0.142,-0.475,0.009,0.55,0.50,285,66,-0.01,0,0,0,0,0,0,0.00,4.99,100.19,2972.44,0.00
13.443,10,285597413,771174487,236860,-184,23,-80,0,0.00207,0.00171,-1.30622,0.00027,0.00029,0.00025,0.043,-0.123,0.234,0.231,-0.802,0.008,0.22,0.83,285,76,-0.01,0,0,0,0,0,0,0.00,4.99,100.19,2945.23,0.00
13.443,10,285597416,771174476,236860,-184,35,-125,0,0.00208,0.00159,-1.30623,0.00028,0.00029,0.00025,0.072,-0.230,0.234,0.354,-1.253,0.007,0.20,1.30,285,86,-0.01,0,0,0,0,0,0,0.00,4.99,100.19,2978.45,0.00
13.443,10,285597420,771174460,236860,-184,51,-184,0,0.00210,0.00149,-1.30624,0.00033,0.00029,0.00027,0.115,-0.390,0.234,0.513,-1.843,0.006,0.47,1.91,285,96,-0.01,0,0,0,0,0,0,0.00,6.06,100.19,2980.19,0.00
13.443,10,285597425,771174437,236860,-184,69,-253,0,0.00210,0.00132,-1.30634,0.00028,0.00028,0.00026,0.176,-0.616,0.234,0.700,-2.530,0.005,0.20,2.63,285,100,-0.01,0,0,0,0,0,0,0.00,8.42,100.19,2953.04,0.00
13.444,10,285597433,771174406,236860,-183,88,-322,0,0.00211,0.00119,-1.30642,0.00028,0.00032,0.00026,0.257,-0.916,0.233,0.888,-3.226,0.004,1.48,3.35,285,100,-0.00,0,0,0,0,0,0,0.00,9.04,100.19,2980.47,0.00
13.444,10,285597441,771174368,236860,-182,107,-391,0,0.00212,0.00102,-1.30666,0.00033,0.00030,0.00024,0.356,-1.282,0.233,1.074,-3.916,0.004,2.00,4.06,285,100,-0.00,0,0,0,0,0,0,0.00,9.17,100.19,2852.14,0.00
13.444,10,285597452,771174324,236860,-181,126,-460,0,0.00212,0.00091,-1.30686,0.00032,0.00024,0.00022,0.473,-1.718,0.232,1.260,-4.606,0.003,2.91,4.78,285,100,-0.00,0,0,0,0,0,0,0.00,9.29,100.19,2800.33,0.00
13.445,10,285597464,771174272,236860,-181,143,-526,0,0.00213,0.00077,-1.30724,0.00036,0.00024,0.00017,0.608,-2.221,0.232,1.437,-5.265,0.003,3.62,5.46,285,100,-0.00,0,0,0,0,0,0,0.00,9.51,100.19,2708.85,0.00
13.445,10,285597478,771174214,236860,-181,160,-589,0,0.00213,0.00068,-1.30753,0.00027,0.00025,0.00011,0.761,-2.790,0.231,1.606,-5.896,0.003,4.11,6.11,285,100,-0.00,0,0,0,0,0,0,0.00,8.75,100.19,2637.58,0.00
13.445,10,285597493,771174150,236860,-181,176,-651,0,0.00214,0.00057,-1.30795,0.00030,0.00027,0.00016,0.929,-3.419,0.232,1.770,-6.512,0.003,4.77,6.75,285,100,-0.00,0,0,0,0,0,0,0.00,8.62,100.19,2589.36,0.00
13.445,10,285597510,771174079,236860,-182,193,-712,0,0.00215,0.00049,-1.30827,0.00029,0.00024,0.00017,1.114,-4.111,0.232,1.933,-7.126,0.004,5.41,7.38,285,100,-0.00,0,0,0,0,0,0,-0.04,8.50,100.19,2522.97,0.00
13.446,10,285597528,771174002,236860,-183,209,-774,0,0.00216,0.00039,-1.30864,0.00027,0.00021,0.00009,1.315,-4.863,0.233,2.097,-7.745,0.004,6.12,8.02,285,100,-0.00,0,0,0,0,0,0,-0.04,8.62,100.19,2459.08,0.00
13.446,10,285597547,771173919,236860,-183,226,-836,0,0.00217,0.00032,-1.30890,0.00027,0.00026,0.00012,1.532,-5.678,0.234,2.261,-8.367,0.005,6.78,8.67,285,100,-0.00,0,0,0,0,0,0,-0.03,8.77,100.19,2387.81,0.00
13.446,10,285597568,771173829,236860,-184,242,-898,0,0.00219,0.00022,-1.30919,0.00028,0.00023,0.00017,1.766,-6.553,0.235,2.425,-8.987,0.005,7.45,9.31,285,100,-0.01,0,0,0,0,0,0,-0.02,8.85,100.19,2321.88,0.00
13.447,10,285597591,771173733,236860,-185,258,-960,0,0.00221,0.00016,-1.30938,0.00033,0.00021,0.00011,2.016,-7.491,0.235,2.589,-9.605,0.006,7.96,9.95,284,100,-0.01,0,0,0,0,0,0,-0.01,8.82,100.19,2255.37,0.00
13.447,10,285597615,771173631,236860,-186,275,-1021,0,0.00223,0.00008,-1.30957,0.00023,0.00025,0.00012,2.282,-8.489,0.237,2.751,-10.218,0.007,8.64,10.58,284,100,-0.01,0,0,0,0,0,0,-0.01,8.75,100.19,2203.70,0.00
13.447,10,285597640,771173522,236860,-189,291,-1083,0,0.00226,-0.00002,-1.30971,0.00030,0.00023,0.00005,2.567,-9.558,0.239,2.914,-10.832,0.008,9.17,11.22,284,100,-0.01,0,0,0,0,0,0,0.00,8.65,100.19,2136.29,0.00
13.448,10,285597667,771173407,236850,-192,307,-1143,0,0.00228,-0.00026,-1.30987,0.00029,0.00020,0.00012,2.868,-10.684,0.243,3.075,-11.439,0.010,9.81,11.84,284,100,-0.01,0,0,0,0,0,0,0.00,8.53,100.20,2083.18,0.00
