wall_time_s,ardu_mode,lat_degE7,lon_degE7,alt_msl_mm,alt_agl_mm,vx_cmps,vy_cmps,vz_cmps,roll_rad,pitch_rad,yaw_rad,rollspeed_rps,pitchspeed_rps,yawspeed_rps,local_x_m,local_y_m,local_z_m,local_vx_mps,local_vy_mps,local_vz_mps,airspeed_mps,groundspeed_mps,heading_deg,throttle_pct,climb_mps,xacc_mg,yacc_mg,zacc_mg,xgyro_mradps,ygyro_mradps,zgyro_mradps,nav_roll_deg,nav_pitch_deg,alt_error_m,aspd_error_mps,xtrack_error_m
13.449,-1,0,0,0,0,0,0,0,0.00200,0.00180,-1.30631,0.00028,0.00027,0.00026,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
13.450,-1,285597410,771174499,237140,93,0,1,0,0.00201,0.00182,-1.30628,0.00029,0.00032,0.00025,0.006,0.010,-0.044,0.009,0.015,-0.010,0.81,0.02,285,0,0.01,0,0,0,0,0,0,0.00,4.99,99.91,-70.57,0.00
13.450,-1,285597410,771174500,237140,93,0,1,0,0.00203,0.00183,-1.30626,0.00031,0.00029,0.00029,0.006,0.010,-0.043,0.009,0.015,-0.010,0.29,0.02,285,10,0.01,0,0,0,0,0,0,0.00,4.99,99.91,215.98,0.00
13.450,-1,285597410,771174500,237140,93,0,1,0,0.00205,0.00185,-1.30623,0.00031,0.00033,0.00026,0.006,0.010,-0.043,0.010,0.014,-0.009,0.57,0.02,285,20,0.01,0,0,0,0,0,0,0.00,4.99,99.91,1971.10,0.00
13.451,-1,285597410,771174500,237140,93,1,0,0,0.00206,0.00186,-1.30621,0.00030,0.00038,0.00024,0.006,0.010,-0.044,0.014,-0.001,-0.009,0.30,0.01,285,30,0.01,0,0,0,0,0,0,0.00,4.99,99.91,2942.51,0.00
13.451,10,285597410,771174499,237140,94,2,-4,0,0.00207,0.00187,-1.30619,0.00027,0.00032,0.00028,0.008,0.007,-0.044,0.027,-0.049,-0.009,0.59,0.06,285,40,0.01,0,0,0,0,0,0,0.00,4.99,99.91,2970.41,0.00
13.451,10,285597410,771174499,237140,94,5,-15,0,0.00209,0.00187,-1.30617,0.00034,0.00036,0.00024,0.011,-0.005,-0.045,0.055,-0.151,-0.009,0.46,0.16,285,50,0.01,0,0,0,0,0,0,0.00,4.99,99.91,2940.92,0.00
13.452,10,285597411,771174496,237140,95,10,-32,0,0.00211,0.00185,-1.30615,0.00029,0.00033,0.00026,0.018,-0.030,-0.045,0.103,-0.326,-0.010,0.36,0.34,285,60,0.01,0,0,0,0,0,0,0.00,4.99,99.91,2954.31,0.00
13.452,10,285597412,771174492,237140,96,17,-59,0,0.00212,0.00182,-1.30613,0.00028,0.00034,0.00031,0.031,-0.077,-0.046,0.175,-0.592,-0.010,0.24,0.62,285,70,0.01,0,0,0,0,0,0,0.00,4.99,99.91,2963.90,0.00
13.452,10,285597414,771174483,237140,97,27,-96,-1,0.00213,0.00177,-1.30613,0.00035,0.00029,0.00018,0.053,-0.158,-0.047,0.278,-0.970,-0.011,0.28,1.01,285,80,0.01,0,0,0,0,0,0,0.00,4.99,99.91,2976.05,0.00
13.453,10,285597417,771174471,237140,98,41,-147,-1,0.00214,0.00168,-1.30615,0.00027,0.00032,0.00029,0.087,-0.283,-0.049,0.414,-1.473,-0.011,1.03,1.53,285,90,0.01,0,0,0,0,0,0,0.00,4.99,99.91,2971.94,0.00
13.453,10,285597422,771174452,237150,100,58,-211,-1,0.00214,0.00156,-1.30620,0.00029,0.00033,0.00026,0.137,-0.467,-0.050,0.589,-2.116,-0.013,1.43,2.20,285,100,0.01,0,0,0,0,0,0,0.00,6.06,99.90,2897.48,0.00
