wall_time_s,ardu_mode,lat_degE7,lon_degE7,alt_msl_mm,alt_agl_mm,vx_cmps,vy_cmps,vz_cmps,roll_rad,pitch_rad,yaw_rad,rollspeed_rps,pitchspeed_rps,yawspeed_rps,local_x_m,local_y_m,local_z_m,local_vx_mps,local_vy_mps,local_vz_mps,airspeed_mps,groundspeed_mps,heading_deg,throttle_pct,climb_mps,xacc_mg,yacc_mg,zacc_mg,xgyro_mradps,ygyro_mradps,zgyro_mradps,nav_roll_deg,nav_pitch_deg,alt_error_m,aspd_error_mps,xtrack_error_m
13.457,-1,0,0,0,0,0,0,0,0.00205,0.00186,-1.30624,0.00023,0.00033,0.00023,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
13.458,-1,285597410,771174500,236990,-61,0,1,0,0.00206,0.00187,-1.30621,0.00032,0.00031,0.00028,0.007,0.011,0.102,0.010,0.016,0.001,0.81,0.02,285,0,-0.00,0,0,0,0,0,0,0.00,4.99,100.07,-70.57,0.00
13.458,-1,285597410,771174500,236990,-60,0,1,0,0.00208,0.00188,-1.30619,0.00026,0.00032,0.00032,0.007,0.012,0.101,0.010,0.017,0.001,0.29,0.02,285,8,-0.00,0,0,0,0,0,0,0.00,4.99,100.07,-80.61,0.00
13.458,-1,285597410,771174500,237000,-59,1,1,0,0.00209,0.00189,-1.30616,0.00037,0.00033,0.00028,0.007,0.012,0.100,0.010,0.017,0.001,0.57,0.02,285,18,-0.00,0,0,0,0,0,0,0.00,4.99,100.06,267.68,0.00
13.459,10,285597410,771174500,237000,-58,1,0,0,0.00210,0.00190,-1.30614,0.00030,0.00038,0.00021,0.007,0.012,0.099,0.013,0.006,0.000,0.30,0.01,285,28,-0.00,0,0,0,0,0,0,0.00,4.99,100.06,1942.51,0.00
13.459,10,285597410,771174499,237000,-58,2,-3,0,0.00211,0.00191,-1.30612,0.00031,0.00030,0.00028,0.008,0.009,0.098,0.025,-0.034,0.000,0.59,0.04,285,38,-0.00,0,0,0,0,0,0,0.00,4.99,100.06,2970.40,0.00
13.459,10,285597411,771174499,237000,-57,4,-12,0,0.00213,0.00191,-1.30609,0.00031,0.00035,0.00029,0.011,0.000,0.098,0.049,-0.124,0.000,0.45,0.13,285,48,-0.00,0,0,0,0,0,0,0.00,4.99,100.06,2940.81,0.00
13.460,10,285597411,771174497,237000,-57,9,-28,0,0.00214,0.00189,-1.30607,0.00026,0.00033,0.00027,0.018,-0.021,0.097,0.093,-0.283,-0.000,0.40,0.30,285,58,0.00,0,0,0,0,0,0,0.00,4.99,100.06,2955.01,0.00
13.460,10,285597412,771174493,237000,-56,16,-53,0,0.00214,0.00186,-1.30606,0.00032,0.00034,0.00023,0.029,-0.064,0.096,0.160,-0.531,-0.001,0.34,0.55,285,68,0.00,0,0,0,0,0,0,0.00,4.99,100.06,2959.74,0.00
13.460,10,285597414,771174486,237000,-55,25,-88,0,0.00215,0.00179,-1.30606,0.00035,0.00035,0.00029,0.049,-0.137,0.095,0.256,-0.883,-0.002,0.47,0.92,285,78,0.00,0,0,0,0,0,0,0.00,4.99,100.06,2966.51,0.00
13.461,10,285597417,771174474,237000,-54,38,-135,0,0.00215,0.00171,-1.30607,0.00029,0.00032,0.00025,0.080,-0.252,0.094,0.385,-1.359,-0.003,0.88,1.41,285,88,0.00,0,0,0,0,0,0,0.00,4.99,100.06,2952.82,0.00
13.461,10,285597421,771174456,237000,-53,55,-197,0,0.00215,0.00155,-1.30613,0.00027,0.00031,0.00023,0.126,-0.423,0.094,0.552,-1.977,-0.004,1.07,2.05,285,98,0.00,0,0,0,0,0,0,0.00,6.06,100.06,2912.07,0.00
13.461,10,285597427,771174432,237000,-53,73,-266,0,0.00215,0.00141,-1.30621,0.00025,0.00028,0.00022,0.190,-0.662,0.093,0.738,-2.666,-0.005,0.76,2.77,285,100,0.00,0,0,0,0,0,0,0.00,8.51,100.06,2892.77,0.00
13.461,10,285597434,771174400,237000,-52,92,-335,0,0.00214,0.00122,-1.30639,0.00037,0.00031,0.00023,0.273,-0.971,0.093,0.925,-3.355,-0.005,1.51,3.48,285,100,0.01,0,0,0,0,0,0,0.00,9.21,100.06,2924.31,0.00
13.462,10,285597443,771174361,237000,-52,111,-404,0,0.00214,0.00105,-1.30658,0.00032,0.00030,0.00023,0.375,-1.351,0.093,1.111,-4.044,-0.006,2.19,4.19,285,100,0.01,0,0,0,0,0,0,0.00,9.26,100.06,2848.95,0.00
13.462,10,285597454,771174315,237000,-52,129,-473,0,0.00214,0.00086,-1.30690,0.00029,0.00027,0.00018,0.496,-1.799,0.093,1.296,-4.734,-0.006,3.03,4.91,285,100,0.01,0,0,0,0,0,0,0.00,9.38,100.06,2781.39,0.00
13.462,10,285597467,771174263,237000,-52,147,-538,0,0.00214,0.00071,-1.30720,0.00027,0.00026,0.00016,0.635,-2.316,0.093,1.470,-5.383,-0.005,3.74,5.58,285,100,0.01,0,0,0,0,0,0,0.00,9.57,100.06,2697.14,0.00
13.463,10,285597481,771174203,237000,-53,163,-601,0,0.00214,0.00056,-1.30760,0.00029,0.00023,0.00020,0.791,-2.896,0.093,1.638,-6.011,-0.005,4.45,6.23,285,100,0.00,0,0,0,0,0,0,0.00,8.81,100.06,2625.65,0.00
13.463,10,285597496,771174138,237000,-52,180,-662,0,0.00215,0.00044,-1.30795,0.00027,0.00022,0.00012,0.963,-3.537,0.093,1.802,-6.625,-0.004,4.90,6.87,285,100,0.00,0,0,0,0,0,0,-0.04,8.70,100.06,2555.09,0.00
13.463,10,285597513,771174066,237000,-53,196,-724,0,0.00216,0.00031,-1.30834,0.00030,0.00027,0.00018,1.151,-4.240,0.093,1.965,-7.240,-0.003,5.61,7.50,285,100,0.00,0,0,0,0,0,0,-0.04,8.57,100.06,2509.68,0.00
13.464,10,285597531,771173987,237000,-53,213,-786,0,0.00217,0.00012,-1.30871,0.00029,0.00024,0.00011,1.358,-5.012,0.094,2.131,-7.865,-0.002,6.10,8.15,285,100,0.00,0,0,0,0,0,0,-0.04,8.69,100.06,2439.08,0.00
13.464,10,285597551,771173902,237000,-55,229,-849,0,0.00218,-0.00017,-1.30907,0.00029,0.00018,0.00018,1.581,-5.847,0.095,2.296,-8.492,-0.001,6.75,8.80,285,100,0.00,0,0,0,0,0,0,-0.03,8.81,100.06,2390.44,0.00
13.464,10,285597573,771173810,237000,-56,246,-911,0,0.00219,-0.00050,-1.30938,0.00028,0.00018,0.00010,1.820,-6.745,0.096,2.461,-9.118,0.002,7.31,9.44,284,100,-0.00,0,0,0,0,0,0,-0.02,8.87,100.06,2324.85,0.00
13.465,10,285597596,771173711,237000,-57,262,-974,0,0.00221,-0.00087,-1.30966,0.00028,0.00021,0.00011,2.077,-7.710,0.097,2.626,-9.742,0.005,7.92,10.09,284,100,-0.00,0,0,0,0,0,0,-0.01,8.82,100.06,2269.00,0.00
13.465,10,285597621,771173606,237000,-58,278,-1036,0,0.00223,-0.00121,-1.30988,0.00024,0.00015,0.00010,2.350,-8.736,0.099,2.789,-10.362,0.008,8.58,10.73,284,100,-0.01,0,0,0,0,0,0,0.00,8.75,100.06,2207.76,0.00
13.465,10,285597646,771173496,237000,-58,295,-1097,1,0.00225,-0.00154,-1.31005,0.00029,0.00011,0.00008,2.638,-9.816,0.099,2.951,-10.974,0.011,9.19,11.36,284,100,-0.01,0,0,0,0,0,0,0.00,8.66,100.06,2141.57,0.00
13.465,10,285597674,771173378,237000,-59,311,-1158,1,0.00227,-0.00184,-1.31019,0.00028,0.00010,0.00011,2.945,-10.965,0.100,3.112,-11.586,0.014,9.82,12.00,284,100,-0.01,0,0,0,0,0,0,0.01,8.54,100.06,2081.21,0.00
13.474,10,285597703,771173254,236990,-61,327,-1219,1,0.00230,-0.00211,-1.31031,0.00029,0.00018,0.00007,3.267,-12.177,0.101,3.273,-12.193,0.018,10.42,12.62,284,100,-0.02,0,0,0,0,0,0,0.02,8.41,100.07,2017.71,0.00
13.493,10,285597733,771173124,236990,-62,343,-1279,2,0.00232,-0.00229,-1.31039,0.00026,0.00010,0.00009,3.606,-13.446,0.102,3.432,-12.794,0.022,10.96,13.25,284,100,-0.02,0,0,0,0,0,0,0.02,8.27,100.07,1957.67,0.00
13.539,10,285597765,771172988,236990,-62,359,-1338,2,0.00235,-0.00230,-1.31046,0.00026,0.00014,0.00010,3.961,-14.779,0.102,3.591,-13.390,0.024,11.59,13.86,284,100,-0.02,0,0,0,0,0,0,0.03,8.12,100.07,1903.69,0.00
