wall_time_s,ardu_mode,lat_degE7,lon_degE7,alt_msl_mm,alt_agl_mm,vx_cmps,vy_cmps,vz_cmps,roll_rad,pitch_rad,yaw_rad,rollspeed_rps,pitchspeed_rps,yawspeed_rps,local_x_m,local_y_m,local_z_m,local_vx_mps,local_vy_mps,local_vz_mps,airspeed_mps,groundspeed_mps,heading_deg,throttle_pct,climb_mps,xacc_mg,yacc_mg,zacc_mg,xgyro_mradps,ygyro_mradps,zgyro_mradps,nav_roll_deg,nav_pitch_deg,alt_error_m,aspd_error_mps,xtrack_error_m
13.467,-1,0,0,0,0,0,0,0,0.00195,0.00175,-1.30635,0.00026,0.00033,0.00023,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
13.468,-1,285597410,771174499,236850,-197,0,1,1,0.00197,0.00178,-1.30633,0.00027,0.00035,0.00028,0.005,0.008,0.247,0.008,0.014,0.012,0.71,0.02,285,2,-0.01,0,0,0,0,0,0,0.00,4.99,100.20,-42.10,0.00
13.468,-1,285597410,771174499,236840,-200,0,1,1,0.00199,0.00179,-1.30630,0.00028,0.00031,0.00028,0.005,0.009,0.251,0.008,0.014,0.013,0.81,0.02,285,12,-0.01,0,0,0,0,0,0,0.00,4.99,100.21,226.03,0.00
13.469,-1,285597410,771174499,236840,-202,0,1,1,0.00201,0.00181,-1.30628,0.00026,0.00028,0.00029,0.005,0.009,0.253,0.009,0.012,0.013,0.29,0.01,285,22,-0.01,0,0,0,0,0,0,0.00,4.99,100.21,1919.38,0.00
13.469,-1,285597410,771174499,236840,-204,1,0,1,0.00202,0.00182,-1.30626,0.00029,0.00030,0.00026,0.006,0.009,0.254,0.015,-0.008,0.013,0.57,0.02,285,32,-0.01,0,0,0,0,0,0,0.00,4.99,100.21,2971.10,0.00
13.470,-1,285597410,771174499,236840,-204,3,-6,1,0.00204,0.00183,-1.30623,0.00030,0.00033,0.00022,0.008,0.004,0.255,0.031,-0.066,0.012,0.29,0.07,285,42,-0.01,0,0,0,0,0,0,0.00,4.99,100.21,2942.52,0.00
13.470,10,285597411,771174499,236840,-205,6,-18,1,0.00206,0.00182,-1.30621,0.00026,0.00028,0.00030,0.012,-0.009,0.256,0.062,-0.180,0.012,0.58,0.19,285,52,-0.01,0,0,0,0,0,0,0.00,4.99,100.21,2970.62,0.00
13.471,10,285597411,771174496,236840,-206,11,-37,1,0.00207,0.00181,-1.30619,0.00027,0.00033,0.00029,0.020,-0.039,0.256,0.114,-0.372,0.011,0.48,0.39,285,62,-0.01,0,0,0,0,0,0,0.00,4.99,100.21,2941.61,0.00
13.472,10,285597413,771174490,236840,-206,19,-65,1,0.00209,0.00177,-1.30618,0.00028,0.00031,0.00026,0.034,-0.091,0.256,0.192,-0.658,0.011,0.19,0.69,285,72,-0.01,0,0,0,0,0,0,0.00,4.99,100.21,2952.02,0.00
13.473,10,285597415,771174481,236840,-206,30,-105,0,0.00210,0.00173,-1.30618,0.00023,0.00032,0.00024,0.058,-0.180,0.256,0.301,-1.058,0.010,0.25,1.10,285,82,-0.01,0,0,0,0,0,0,0.00,4.99,100.21,2980.49,0.00
13.473,10,285597418,771174467,236840,-205,44,-159,0,0.00211,0.00164,-1.30621,0.00033,0.00033,0.00027,0.095,-0.316,0.256,0.446,-1.592,0.009,0.47,1.65,285,92,-0.01,0,0,0,0,0,0,0.00,6.06,100.21,2975.46,0.00
13.474,10,285597423,771174447,236840,-205,62,-225,0,0.00212,0.00153,-1.30625,0.00032,0.00034,0.00030,0.148,-0.515,0.255,0.626,-2.257,0.007,1.25,2.34,285,100,-0.01,0,0,0,0,0,0,0.00,8.42,100.21,2953.36,0.00
13.475,10,285597429,771174420,236840,-204,81,-294,0,0.00212,0.00140,-1.30637,0.00032,0.00026,0.00022,0.220,-0.781,0.255,0.812,-2.945,0.006,1.86,3.06,285,100,-0.01,0,0,0,0,0,0,0.00,9.32,100.21,2875.39,0.00
13.476,10,285597437,771174385,236840,-204,99,-363,0,0.00213,0.00126,-1.30652,0.00032,0.00027,0.00029,0.311,-1.120,0.254,0.998,-3.635,0.005,2.13,3.77,285,100,-0.01,0,0,0,0,0,0,0.00,9.42,100.21,2814.45,0.00
13.476,10,285597447,771174343,236840,-204,118,-432,0,0.00214,0.00112,-1.30676,0.00032,0.00021,0.00024,0.420,-1.526,0.254,1.184,-4.324,0.005,2.83,4.48,285,100,-0.00,0,0,0,0,0,0,0.00,9.44,100.21,2786.84,0.00
13.477,10,285597459,771174295,236840,-204,136,-500,0,0.00214,0.00100,-1.30702,0.00029,0.00028,0.00021,0.548,-2.003,0.254,1.367,-5.004,0.004,3.51,5.19,285,100,-0.00,0,0,0,0,0,0,0.00,9.53,100.21,2717.10,0.00
13.478,10,285597472,771174239,236840,-204,153,-563,0,0.00215,0.00088,-1.30735,0.00026,0.00027,0.00017,0.694,-2.544,0.255,1.537,-5.639,0.004,4.28,5.84,285,100,-0.00,0,0,0,0,0,0,0.00,8.70,100.21,2649.25,0.00
13.478,10,285597486,771174177,236840,-205,170,-626,0,0.00216,0.00078,-1.30769,0.00030,0.00025,0.00021,0.857,-3.150,0.255,1.703,-6.261,0.004,4.97,6.49,285,100,-0.00,0,0,0,0,0,0,-0.04,8.58,100.21,2571.55,0.00
13.478,10,285597503,771174109,236840,-205,186,-687,0,0.00217,0.00068,-1.30805,0.00030,0.00021,0.00012,1.036,-3.815,0.256,1.867,-6.873,0.004,5.64,7.12,285,100,-0.00,0,0,0,0,0,0,-0.04,8.48,100.21,2503.29,0.00
13.479,10,285597520,771174035,236840,-206,203,-749,0,0.00218,0.00060,-1.30837,0.00028,0.00021,0.00013,1.231,-4.543,0.256,2.030,-7.490,0.005,6.13,7.76,285,100,-0.00,0,0,0,0,0,0,-0.04,8.63,100.21,2435.49,0.00
13.479,10,285597539,771173954,236840,-206,219,-811,0,0.00220,0.00050,-1.30870,0.00028,0.00030,0.00016,1.442,-5.332,0.256,2.195,-8.111,0.005,6.81,8.40,285,100,-0.00,0,0,0,0,0,0,-0.03,8.76,100.21,2387.39,0.00
13.480,10,285597559,771173867,236840,-207,235,-873,0,0.00221,0.00042,-1.30900,0.00032,0.00028,0.00015,1.670,-6.184,0.257,2.360,-8.733,0.006,7.33,9.05,285,100,-0.01,0,0,0,0,0,0,-0.03,8.84,100.21,2318.59,0.00
13.480,10,285597582,771173773,236840,-208,252,-935,0,0.00223,0.00019,-1.30932,0.00030,0.00021,0.00009,1.915,-7.104,0.258,2.525,-9.357,0.006,7.98,9.69,284,100,-0.01,0,0,0,0,0,0,-0.02,8.80,100.21,2267.51,0.00
