wall_time_s,ardu_mode,lat_degE7,lon_degE7,alt_msl_mm,alt_agl_mm,vx_cmps,vy_cmps,vz_cmps,roll_rad,pitch_rad,yaw_rad,rollspeed_rps,pitchspeed_rps,yawspeed_rps,local_x_m,local_y_m,local_z_m,local_vx_mps,local_vy_mps,local_vz_mps,airspeed_mps,groundspeed_mps,heading_deg,throttle_pct,climb_mps,xacc_mg,yacc_mg,zacc_mg,xgyro_mradps,ygyro_mradps,zgyro_mradps,nav_roll_deg,nav_pitch_deg,alt_error_m,aspd_error_mps,xtrack_error_m
13.438,-1,0,0,0,0,0,0,0,0.00206,0.00187,-1.30622,0.00029,0.00029,0.00026,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
13.438,-1,285597410,771174500,236950,-98,0,1,0,0.00207,0.00188,-1.30619,0.00031,0.00032,0.00030,0.007,0.011,0.149,0.010,0.017,0.004,0.57,0.02,285,0,-0.00,0,0,0,0,0,0,0.00,-2.00,100.10,-28.91,0.00
13.439,10,285597410,771174500,236950,-97,0,1,0,0.00209,0.00190,-1.30617,0.00027,0.00032,0.00025,0.007,0.012,0.148,0.010,0.017,0.004,0.30,0.02,285,6,-0.00,0,0,0,0,0,0,0.00,4.99,100.10,-57.50,0.00
13.439,10,285597410,771174500,236950,-96,1,1,0,0.00210,0.00191,-1.30614,0.00029,0.00032,0.00026,0.007,0.012,0.147,0.010,0.017,0.003,0.59,0.02,285,16,-0.00,0,0,0,0,0,0,0.00,4.99,100.10,266.98,0.00
13.439,10,285597410,771174500,236950,-96,1,1,0,0.00211,0.00193,-1.30612,0.00033,0.00033,0.00029,0.007,0.012,0.146,0.012,0.010,0.003,0.45,0.02,285,26,-0.00,0,0,0,0,0,0,0.00,4.99,100.10,1940.82,0.00
13.440,10,285597410,771174500,236950,-95,2,-2,0,0.00212,0.00193,-1.30609,0.00028,0.00033,0.00028,0.008,0.011,0.146,0.022,-0.023,0.003,0.41,0.03,285,36,-0.00,0,0,0,0,0,0,0.00,4.99,100.10,2955.16,0.00
13.440,10,285597410,771174499,236950,-94,4,-10,0,0.00214,0.00194,-1.30607,0.00028,0.00037,0.00031,0.011,0.003,0.145,0.043,-0.102,0.003,0.37,0.11,285,46,-0.00,0,0,0,0,0,0,0.00,4.99,100.10,2958.60,0.00
13.440,10,285597411,771174498,236950,-94,8,-24,0,0.00214,0.00192,-1.30605,0.00033,0.00035,0.00028,0.016,-0.015,0.144,0.083,-0.245,0.002,0.55,0.26,285,56,-0.00,0,0,0,0,0,0,0.00,4.99,100.10,2962.56,0.00
13.441,10,285597412,771174494,236950,-93,14,-47,0,0.00216,0.00190,-1.30603,0.00032,0.00030,0.00029,0.026,-0.053,0.143,0.144,-0.472,0.002,0.76,0.49,285,66,-0.00,0,0,0,0,0,0,0.00,4.99,100.10,2944.57,0.00
13.441,10,285597413,771174487,236950,-92,23,-80,0,0.00216,0.00182,-1.30603,0.00036,0.00030,0.00024,0.044,-0.118,0.143,0.234,-0.801,0.001,0.67,0.83,285,76,-0.00,0,0,0,0,0,0,0.00,4.99,100.10,2924.29,0.00
13.441,10,285597416,771174477,236950,-92,35,-125,0,0.00216,0.00176,-1.30603,0.00027,0.00029,0.00021,0.073,-0.225,0.142,0.356,-1.252,-0.000,0.87,1.30,285,86,0.00,0,0,0,0,0,0,0.00,4.99,100.10,2932.99,0.00
13.442,10,285597420,771174460,236950,-92,51,-183,0,0.00216,0.00160,-1.30609,0.00030,0.00032,0.00025,0.115,-0.382,0.142,0.515,-1.839,-0.001,0.81,1.91,285,96,0.00,0,0,0,0,0,0,0.00,6.06,100.10,2913.03,0.00
13.442,10,285597425,771174437,236950,-92,70,-252,0,0.00216,0.00147,-1.30614,0.00029,0.00028,0.00027,0.176,-0.608,0.142,0.701,-2.527,-0.002,1.13,2.62,285,100,0.00,0,0,0,0,0,0,0.00,8.44,100.10,2918.57,0.00
13.442,10,285597432,771174407,236950,-92,88,-321,0,0.00215,0.00127,-1.30633,0.00026,0.00025,0.00019,0.255,-0.902,0.142,0.887,-3.215,-0.003,1.94,3.34,285,100,0.00,0,0,0,0,0,0,0.00,9.29,100.10,2886.86,0.00
13.442,10,285597441,771174370,236950,-92,107,-390,0,0.00215,0.00111,-1.30649,0.00026,0.00029,0.00021,0.353,-1.268,0.142,1.073,-3.905,-0.003,2.59,4.05,285,100,0.00,0,0,0,0,0,0,0.00,9.43,100.10,2805.57,0.00
13.443,10,285597452,771174325,236950,-92,125,-459,0,0.00214,0.00090,-1.30681,0.00028,0.00025,0.00026,0.470,-1.702,0.142,1.259,-4.594,-0.003,3.28,4.76,285,100,0.00,0,0,0,0,0,0,0.00,9.59,100.10,2740.72,0.00
13.443,10,285597464,771174274,236950,-92,143,-525,0,0.00215,0.00076,-1.30708,0.00032,0.00024,0.00017,0.605,-2.206,0.142,1.436,-5.254,-0.003,3.67,5.45,285,100,0.00,0,0,0,0,0,0,0.00,9.75,100.10,2671.78,0.00
13.444,10,285597478,771174216,236950,-92,160,-588,0,0.00215,0.00059,-1.30750,0.00022,0.00027,0.00018,0.758,-2.773,0.142,1.605,-5.884,-0.003,4.41,6.10,285,100,0.00,0,0,0,0,0,0,0.00,8.90,100.10,2632.61,0.00
13.444,10,285597493,771174151,236950,-92,177,-650,0,0.00215,0.00045,-1.30787,0.00029,0.00058,0.00010,0.928,-3.409,0.143,1.770,-6.506,-0.002,4.87,6.74,285,100,0.00,0,0,0,0,0,0,-0.04,8.74,100.10,2558.76,0.00
13.445,10,285597510,771174080,236950,-93,193,-712,0,0.00216,0.00043,-1.30830,0.00028,0.00524,0.00017,1.115,-4.104,0.144,1.934,-7.124,-0.001,5.54,7.38,285,100,0.00,0,0,0,0,0,0,-0.04,8.58,100.10,2512.94,0.00
13.445,10,285597528,771174002,236950,-94,209,-774,0,0.00217,0.00125,-1.30864,0.00029,0.01595,0.00011,1.319,-4.866,0.145,2.100,-7.748,0.001,6.08,8.03,285,100,-0.00,0,0,0,0,0,0,-0.04,8.69,100.10,2446.42,0.00
13.445,10,285597548,771173917,236950,-95,226,-837,0,0.00218,0.00340,-1.30902,0.00029,0.03212,0.00021,1.539,-5.691,0.145,2.266,-8.377,0.003,6.69,8.68,285,100,-0.00,0,0,0,0,0,0,-0.03,8.80,100.10,2392.07,0.00
13.446,10,285597569,771173826,236950,-96,243,-900,0,0.00219,0.00744,-1.30930,0.00030,0.05240,0.00007,1.777,-6.582,0.146,2.431,-9.004,0.006,7.36,9.33,284,100,-0.01,0,0,0,0,0,0,-0.02,8.85,100.10,2331.07,0.00
13.446,10,285597592,771173730,236950,-97,259,-962,0,0.00220,0.01368,-1.30958,0.00029,0.07500,0.00010,2.028,-7.526,0.147,2.594,-9.620,0.008,7.96,9.96,284,100,-0.01,0,0,0,0,0,0,-0.01,8.78,100.10,2264.06,0.00
13.447,10,285597616,771173626,236950,-98,275,-1023,1,0.00222,0.02225,-1.30977,0.00026,0.09754,0.00009,2.299,-8.541,0.149,2.756,-10.236,0.011,8.60,10.60,284,100,-0.01,0,0,0,0,0,0,0.00,8.66,100.10,2203.70,0.00
13.447,10,285597642,771173516,236940,-100,291,-1084,1,0.00224,0.03292,-1.30993,0.00035,0.11748,0.00009,2.585,-9.616,0.151,2.916,-10.842,0.014,9.20,11.23,284,100,-0.01,0,0,0,0,0,0,0.00,8.51,100.11,2139.65,0.00
13.448,10,285597669,771173400,236940,-101,307,-1143,1,0.00227,0.04550,-1.31002,0.00026,0.13248,0.00004,2.888,-10.752,0.152,3.074,-11.438,0.017,9.74,11.84,284,100,-0.02,0,0,0,0,0,0,0.00,8.31,100.11,2079.57,0.00
13.448,10,285597698,771173277,236940,-102,322,-1202,1,0.00229,0.05924,-1.31012,0.00029,0.14078,0.00007,3.207,-11.949,0.152,3.229,-12.023,0.019,10.36,12.45,284,100,-0.02,0,0,0,0,0,0,0.01,8.06,100.11,2026.41,0.00
13.451,10,285597727,771173151,236940,-102,337,-1258,1,0.00232,0.07336,-1.31017,0.00031,0.14023,0.00009,3.537,-13.188,0.152,3.378,-12.587,0.019,10.99,13.03,284,100,-0.02,0,0,0,0,0,0,0.02,7.78,100.11,1963.62,0.00
13.500,10,285597758,771173019,236940,-101,352,-1313,1,0.00235,0.08694,-1.31023,0.00033,0.13028,0.00009,3.881,-14.478,0.152,3.523,-13.134,0.020,11.56,13.60,284,100,-0.02,0,0,0,0,0,0,0.02,7.47,100.11,1900.66,0.00
13.503,10,285597790,771172882,236940,-101,366,-1366,1,0.00238,0.09896,-1.31026,0.00025,0.11111,0.00007,4.238,-15.817,0.152,3.663,-13.663,0.019,12.09,14.15,284,100,-0.02,0,0,0,0,0,0,0.02,7.14,100.11,1843.94,0.00
13.511,10,285597824,771172740,236940,-100,379,-1417,1,0.00241,0.10864,-1.31031,0.00030,0.08490,0.00011,4.609,-17.207,0.151,3.800,-14.176,0.018,12.64,14.68,284,100,-0.02,0,0,0,0,0,0,0.03,6.80,100.11,1790.97,0.00
13.535,10,285597858,771172593,236940,-101,393,-1467,1,0.00244,0.11540,-1.31034,0.00034,0.05469,0.00008,4.992,-18.645,0.151,3.932,-14.673,0.017,13.19,15.19,284,100,-0.02,0,0,0,0,0,0,0.03,6.47,100.11,1736.17,0.00
13.554,10,285597894,771172441,236940,-101,406,-1515,1,0.00246,0.11909,-1.31037,0.00026,0.02404,0.00008,5.389,-20.131,0.151,4.061,-15.158,0.016,13.71,15.69,284,100,-0.02,0,0,0,0,0,0,0.03,6.16,100.11,1681.39,0.00
13.573,10,285597930,771172284,236950,-98,418,-1563,1,0.00249,0.11986,-1.31039,0.00031,-0.00348,0.00012,5.798,-21.663,0.149,4.188,-15.632,0.015,14.23,16.18,284,100,-0.01,0,0,0,0,0,0,0.03,5.90,100.10,1628.50,0.00
