wall_time_s,ardu_mode,lat_degE7,lon_degE7,alt_msl_mm,alt_agl_mm,vx_cmps,vy_cmps,vz_cmps,roll_rad,pitch_rad,yaw_rad,rollspeed_rps,pitchspeed_rps,yawspeed_rps,local_x_m,local_y_m,local_z_m,local_vx_mps,local_vy_mps,local_vz_mps,airspeed_mps,groundspeed_mps,heading_deg,throttle_pct,climb_mps,xacc_mg,yacc_mg,zacc_mg,xgyro_mradps,ygyro_mradps,zgyro_mradps,nav_roll_deg,nav_pitch_deg,alt_error_m,aspd_error_mps,xtrack_error_m
12.319,-1,0,0,0,0,0,0,0,0.00199,0.00180,-1.30633,0.00028,0.00029,0.00021,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
12.320,-1,285597410,771174500,237000,-54,0,1,0,0.00201,0.00181,-1.30630,0.00029,0.00032,0.00026,0.006,0.010,0.095,0.009,0.015,-0.000,0.89,0.02,285,0,0.00,0,0,0,0,0,0,0.00,4.99,100.06,-86.93,0.00
12.320,-1,285597410,771174500,237000,-55,0,1,0,0.00203,0.00183,-1.30628,0.00023,0.00034,0.00020,0.006,0.010,0.095,0.009,0.015,-0.000,0.36,0.02,285,8,0.00,0,0,0,0,0,0,0.00,4.99,100.06,-88.87,0.00
12.321,-1,285597410,771174500,237000,-56,0,1,0,0.00204,0.00184,-1.30626,0.00028,0.00033,0.00025,0.006,0.011,0.096,0.009,0.015,0.000,0.42,0.02,285,18,-0.00,0,0,0,0,0,0,0.00,4.99,100.06,260.48,0.00
12.321,-1,285597410,771174500,237000,-57,1,0,0,0.00205,0.00186,-1.30623,0.00029,0.00031,0.00025,0.007,0.011,0.097,0.013,0.005,0.000,0.71,0.01,285,28,-0.00,0,0,0,0,0,0,0.00,4.99,100.06,1957.89,0.00
12.322,-1,285597410,771174499,237000,-57,2,-3,0,0.00206,0.00187,-1.30621,0.00032,0.00031,0.00028,0.008,0.008,0.098,0.024,-0.036,0.000,0.81,0.04,285,38,-0.00,0,0,0,0,0,0,0.00,4.99,100.06,2929.40,0.00
12.322,-1,285597410,771174499,237000,-57,4,-12,0,0.00208,0.00186,-1.30619,0.00026,0.00031,0.00032,0.010,-0.001,0.098,0.048,-0.125,0.000,0.29,0.13,285,48,-0.00,0,0,0,0,0,0,0.00,4.99,100.06,2919.37,0.00
12.323,-1,285597411,771174497,237000,-57,9,-28,0,0.00209,0.00183,-1.30617,0.00037,0.00032,0.00028,0.017,-0.023,0.097,0.092,-0.284,-0.000,0.57,0.30,285,58,0.00,0,0,0,0,0,0,0.00,4.99,100.06,2971.32,0.00
12.324,10,285597412,771174493,237000,-56,15,-52,0,0.00210,0.00178,-1.30616,0.00029,0.00036,0.00021,0.028,-0.065,0.097,0.158,-0.529,-0.001,0.22,0.55,285,68,0.00,0,0,0,0,0,0,0.00,4.99,100.06,2943.18,0.00
12.325,10,285597414,771174485,237000,-56,25,-88,0,0.00211,0.00169,-1.30615,0.00031,0.00028,0.00028,0.048,-0.139,0.097,0.254,-0.882,-0.001,0.46,0.92,285,78,0.00,0,0,0,0,0,0,0.00,4.99,100.06,2978.42,0.00
