parameter,direction,pct,nominal_val,perturbed_val,passed,fail_reasons
CL_0,-,20.0,0.18,0.144,True,
CL_0,-,40.0,0.18,0.108,True,
CL_0,-,60.0,0.18,0.072,True,
CL_0,-,80.0,0.18,0.03599999999999999,True,
CL_0,-,100.0,0.18,0.0,True,
CL_0,+,20.0,0.18,0.216,True,
CL_0,+,40.0,0.18,0.252,True,
CL_0,+,60.0,0.18,0.288,True,
CL_0,+,80.0,0.18,0.324,True,
CL_0,+,100.0,0.18,0.36,True,
CL_alpha,-,20.0,5.718,4.5744,True,
CL_alpha,-,40.0,5.718,3.4308,True,
CL_alpha,-,50.0,5.718,2.859,False,"flag_alt_error, flag_circle_radius"
CL_alpha,-,60.0,5.718,2.2872,False,"flag_alt_error, flag_roll_angle, flag_circle_radius"
CL_alpha,-,80.0,5.718,1.1435999999999997,False,"flag_alt_error, flag_circle_radius, flag_airspeed_high"
CL_alpha,-,100.0,5.718,0.0,False,NO_LIFTOFF
CL_alpha,+,20.0,5.718,6.8616,True,
CL_alpha,+,40.0,5.718,8.0052,True,
CL_alpha,+,60.0,5.718,9.1488,True,
CL_alpha,+,80.0,5.718,10.2924,True,
CL_alpha,+,100.0,5.718,11.436,True,
CL_delta_e,-,20.0,0.69,0.5519999999999999,True,
CL_delta_e,-,40.0,0.69,0.414,True,
CL_delta_e,-,60.0,0.69,0.27599999999999997,True,
CL_delta_e,-,80.0,0.69,0.13799999999999996,True,
CL_delta_e,-,100.0,0.69,0.0,True,
CL_delta_e,+,20.0,0.69,0.828,True,
CL_delta_e,+,40.0,0.69,0.9659999999999999,True,
CL_delta_e,+,60.0,0.69,1.1039999999999999,True,
CL_delta_e,+,80.0,0.69,1.242,True,
CL_delta_e,+,100.0,0.69,1.38,True,
Cl_delta_aL,-,20.0,0.062337808096,0.0498702464768,True,
Cl_delta_aL,-,40.0,0.062337808096,0.037402684857599997,True,
Cl_delta_aL,-,60.0,0.062337808096,0.0249351232384,True,
Cl_delta_aL,-,80.0,0.062337808096,0.012467561619199997,True,
