time_s,phase,mode,armed,lat,lon,alt_agl_m,airspeed,groundspeed,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,gamma_deg,vN,vE,vD,climb_mps,throttle_pct
1.12,TAKEOFF,MANUAL,0,-35.3631998,149.1652281,0.05,2.84,3.93,0.12,0.09,-6.23,0.02,0.02,0.04,0.29,3.90,-0.46,-0.02,0.02,84
1.32,TAKEOFF,MANUAL,0,-35.3631917,149.1652269,0.06,3.55,4.98,0.12,0.09,-6.24,0.02,0.02,0.04,0.23,4.94,-0.57,-0.02,0.02,100
1.52,TAKEOFF,MANUAL,0,-35.3631818,149.1652255,0.06,4.34,6.06,0.12,0.10,-6.24,0.03,0.02,0.04,0.19,6.02,-0.69,-0.02,0.02,100
1.73,TAKEOFF,MANUAL,0,-35.3631700,149.1652238,0.07,5.52,7.08,0.13,0.25,-6.25,0.02,2.13,0.05,0.16,7.03,-0.81,-0.02,0.02,100
1.93,TAKEOFF,TAKEOFF,1,-35.3631564,149.1652218,0.07,6.54,8.06,0.13,0.92,-6.27,0.02,4.51,0.05,0.21,8.00,-0.92,-0.03,0.03,100
2.13,TAKEOFF,MANUAL,0,-35.3631412,149.1652196,0.08,7.34,8.98,0.13,1.96,-6.30,0.02,5.40,0.04,0.19,8.92,-1.03,-0.03,0.03,100
2.34,TAKEOFF,MANUAL,0,-35.3631244,149.1652171,0.08,8.12,9.84,0.14,3.00,-6.33,0.02,5.08,0.04,0.17,9.77,-1.13,-0.03,0.03,100
2.54,TAKEOFF,MANUAL,0,-35.3631062,149.1652144,0.08,9.03,10.64,0.14,3.98,-6.38,0.02,4.78,0.04,0.16,10.57,-1.23,-0.03,0.03,100
2.75,TAKEOFF,MANUAL,0,-35.3630862,149.1652114,0.09,9.83,11.39,0.14,4.87,-6.42,-0.02,3.79,0.06,0.25,11.31,-1.32,-0.05,0.05,100
2.95,TAKEOFF,TAKEOFF,1,-35.3630651,149.1652082,0.10,10.49,12.07,0.12,5.60,-6.46,-0.11,3.77,0.07,1.04,11.99,-1.41,-0.22,0.22,100
3.16,TAKEOFF,MANUAL,0,-35.3630427,149.1652048,0.17,11.12,12.68,0.09,6.40,-6.49,-0.15,4.24,0.07,2.26,12.59,-1.49,-0.50,0.50,100
3.36,TAKEOFF,MANUAL,0,-35.3630194,149.1652013,0.31,11.73,13.21,0.06,7.30,-6.52,-0.15,4.69,0.07,3.68,13.12,-1.56,-0.85,0.85,100
3.56,TAKEOFF,MANUAL,0,-35.3629833,149.1651959,0.65,12.46,13.85,0.02,8.80,-6.55,-0.11,5.21,0.05,5.85,13.75,-1.64,-1.42,1.42,100
3.77,TAKEOFF,MANUAL,0,-35.3629585,149.1651921,0.97,12.87,14.17,-0.01,9.89,-6.57,-0.25,5.48,-0.01,7.32,14.07,-1.69,-1.82,1.82,100
3.97,TAKEOFF,TAKEOFF,1,-35.3629333,149.1651883,1.39,13.22,14.43,-0.14,11.02,-6.63,-0.90,5.68,-0.25,8.83,14.32,-1.72,-2.24,2.24,100
4.17,TAKEOFF,MANUAL,0,-35.3629076,149.1651844,1.88,13.58,14.61,-0.39,12.18,-6.72,-1.24,5.84,-0.35,10.28,14.50,-1.75,-2.65,2.65,100
4.38,TAKEOFF,MANUAL,0,-35.3628817,149.1651804,2.45,13.84,14.73,-0.67,13.37,-6.83,-1.32,5.92,-0.36,11.70,14.62,-1.79,-3.05,3.05,100
4.58,TAKEOFF,MANUAL,0,-35.3628556,149.1651764,3.10,14.08,14.80,-0.96,14.57,-6.94,-1.33,5.97,-0.37,13.13,14.68,-1.83,-3.45,3.45,100
4.78,TAKEOFF,MANUAL,0,-35.3628292,149.1651722,3.84,14.22,14.81,-1.26,15.78,-7.05,-1.30,5.97,-0.39,14.51,14.68,-1.87,-3.83,3.83,100
4.99,TAKEOFF,TAKEOFF,1,-35.3628028,149.1651679,4.65,14.35,14.78,-1.55,16.96,-7.18,-1.24,5.92,-0.41,15.87,14.65,-1.92,-4.20,4.20,100
5.19,TAKEOFF,MANUAL,0,-35.3627764,149.1651635,5.53,14.40,14.71,-1.84,18.13,-7.31,-1.18,5.84,-0.46,17.16,14.57,-1.97,-4.54,4.54,100
5.40,TAKEOFF,MANUAL,0,-35.3627502,149.1651590,6.47,14.42,14.60,-2.12,19.27,-7.46,-1.07,5.71,-0.50,18.42,14.45,-2.02,-4.86,4.86,100
5.60,TAKEOFF,MANUAL,0,-35.3627243,149.1651545,7.48,14.46,14.44,-2.38,20.40,-7.62,-0.98,5.55,-0.55,19.63,14.29,-2.07,-5.15,5.15,100
5.81,TAKEOFF,MANUAL,0,-35.3626990,149.1651498,8.54,14.40,14.24,-2.63,21.50,-7.80,-0.88,5.35,-0.59,20.84,14.08,-2.11,-5.42,5.42,100
6.01,TAKEOFF,TAKEOFF,1,-35.3626742,149.1651451,9.66,14.28,14.02,-2.87,22.56,-7.99,-0.78,5.14,-0.64,21.99,13.85,-2.15,-5.66,5.66,100
6.22,TAKEOFF,MANUAL,0,-35.3626498,149.1651403,10.81,14.22,13.77,-3.10,23.57,-8.19,-0.67,4.90,-0.70,23.06,13.59,-2.19,-5.86,5.86,100
