time_s,phase,mode,armed,lat,lon,alt_agl_m,airspeed,groundspeed,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,gamma_deg,vN,vE,vD,climb_mps,throttle_pct,navroll_deg,navpitch_deg,ail_out,elev_out,rud_out,aoa_deg,ssa_deg
0.30,TAKEOFF,TAKEOFF,1,28.5597597,77.1173705,-0.07,6.78,8.08,0.07,0.02,-74.86,0.02,1.05,0.02,-0.14,2.10,-7.80,0.02,-0.02,90,0.01,6.92,1507,1322,1508,0.20,-0.03
0.51,TAKEOFF,TAKEOFF,1,28.5597636,77.1173540,-0.07,7.48,8.74,0.07,0.99,-74.87,0.02,7.06,0.02,-0.13,2.26,-8.43,0.02,-0.02,90,0.03,7.64,1505,1397,1506,1.01,-0.04
0.71,TAKEOFF,TAKEOFF,1,28.5597677,77.1173363,-0.07,8.13,9.34,0.08,2.64,-74.87,0.02,8.72,0.02,-0.12,2.42,-9.01,0.02,-0.02,90,0.04,8.32,1503,1418,1504,2.43,-0.05
0.92,TAKEOFF,TAKEOFF,1,28.5597721,77.1173175,-0.07,8.78,9.85,0.07,4.32,-74.89,-0.07,7.90,-0.16,0.52,2.55,-9.51,-0.09,0.09,90,0.05,8.96,1502,1425,1496,3.88,-0.03
1.12,TAKEOFF,TAKEOFF,1,28.5597767,77.1172978,-0.02,9.33,10.29,0.04,5.73,-74.91,-0.16,6.49,-0.06,2.06,2.66,-9.93,-0.37,0.37,90,0.07,9.52,1499,1430,1496,3.70,-0.04
1.33,TAKEOFF,TAKEOFF,1,28.5597816,77.1172770,0.10,9.76,10.65,0.02,6.99,-74.92,-0.08,6.34,0.03,3.87,2.74,-10.28,-0.72,0.72,90,0.09,10.00,1494,1439,1496,3.11,-0.06
1.53,TAKEOFF,TAKEOFF,1,28.5597866,77.1172556,0.30,10.17,10.93,0.02,8.30,-74.90,0.06,6.89,0.13,5.75,2.81,-10.56,-1.10,1.10,90,0.12,10.39,1492,1451,1496,2.29,-0.11
1.74,TAKEOFF,TAKEOFF,1,28.5597917,77.1172337,0.57,10.50,11.13,0.05,9.75,-74.87,0.18,7.49,0.15,7.68,2.86,-10.75,-1.50,1.50,90,0.14,10.70,1492,1465,1496,1.79,-0.15
1.94,TAKEOFF,TAKEOFF,1,28.5597969,77.1172115,0.92,10.74,11.25,0.09,11.28,-74.84,0.21,7.79,0.12,9.55,2.89,-10.86,-1.89,1.89,90,0.15,10.92,1495,1480,1498,1.35,-0.17
2.15,TAKEOFF,TAKEOFF,1,28.5598021,77.1171894,1.35,10.92,11.27,0.13,12.84,-74.83,0.14,7.76,-0.00,11.44,2.90,-10.89,-2.28,2.28,90,0.15,11.07,1498,1496,1498,0.86,-0.17
2.35,TAKEOFF,TAKEOFF,1,28.5598072,77.1171675,1.85,10.99,11.22,0.15,14.37,-74.83,0.00,7.52,-0.08,13.29,2.89,-10.84,-2.65,2.65,90,0.14,11.14,1500,1512,1498,0.51,-0.14
2.56,TAKEOFF,TAKEOFF,1,28.5598123,77.1171458,2.42,11.10,11.11,0.13,15.83,-74.85,-0.09,7.07,-0.09,15.02,2.86,-10.73,-2.98,2.98,90,0.13,11.14,1500,1530,1498,0.17,-0.12
