time_s,phase,mode,armed,lat,lon,alt_agl_m,airspeed,groundspeed,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,gamma_deg,vN,vE,vD,climb_mps,throttle_pct
0.30,TAKEOFF,TAKEOFF,1,-35.3632621,149.1652374,0.04,0.51,0.00,0.02,0.01,-7.01,0.01,0.01,0.01,0.00,0.00,0.00,-0.02,0.02,8
0.51,TAKEOFF,TAKEOFF,1,-35.3632621,149.1652374,0.04,0.27,0.04,0.02,0.01,-7.01,0.01,0.01,0.01,0.00,0.04,0.00,-0.01,0.01,28
0.71,TAKEOFF,TAKEOFF,1,-35.3632619,149.1652374,0.04,0.29,0.24,0.02,0.01,-7.01,0.01,0.01,0.01,2.38,0.24,-0.02,-0.01,0.01,48
0.91,TAKEOFF,TAKEOFF,1,-35.3632610,149.1652373,0.04,0.73,0.73,0.02,0.01,-7.01,0.01,0.01,0.01,0.79,0.72,-0.08,-0.01,0.01,68
1.12,TAKEOFF,TAKEOFF,1,-35.3632589,149.1652370,0.04,0.80,1.61,0.02,0.01,-7.01,0.01,0.01,0.01,0.36,1.59,-0.19,-0.01,0.01,88
1.32,TAKEOFF,TAKEOFF,1,-35.3632549,149.1652364,0.04,1.79,2.79,0.03,0.00,-7.01,0.01,0.01,0.01,0.21,2.76,-0.33,-0.01,0.01,90
1.53,TAKEOFF,TAKEOFF,1,-35.3632488,149.1652354,0.04,2.22,3.93,0.03,-0.00,-7.01,0.01,0.01,0.01,0.15,3.89,-0.47,-0.01,0.01,90
1.73,TAKEOFF,TAKEOFF,1,-35.3632406,149.1652342,0.05,3.13,5.04,0.03,-0.01,-7.02,0.01,0.00,0.01,0.11,5.00,-0.61,-0.01,0.01,90
1.94,TAKEOFF,TAKEOFF,1,-35.3632305,149.1652327,0.05,4.27,6.03,0.03,-0.02,-7.02,0.01,0.00,0.01,-0.00,5.98,-0.73,0.00,-0.00,90
2.14,TAKEOFF,TAKEOFF,1,-35.3632186,149.1652309,0.05,5.23,6.97,0.03,0.38,-7.02,0.01,4.61,0.01,-0.00,6.91,-0.84,0.00,-0.00,90
2.34,TAKEOFF,TAKEOFF,1,-35.3632051,149.1652289,0.05,6.08,7.86,0.03,1.89,-7.01,0.01,9.38,0.01,-0.00,7.80,-0.95,0.00,-0.00,90
2.55,TAKEOFF,TAKEOFF,1,-35.3631901,149.1652266,0.05,7.00,8.69,0.03,3.68,-7.01,0.01,7.49,0.01,-0.00,8.62,-1.05,0.00,-0.00,90
2.75,TAKEOFF,TAKEOFF,1,-35.3631740,149.1652242,0.05,7.75,9.44,0.04,4.43,-7.01,0.01,0.57,0.01,-0.00,9.36,-1.14,0.00,-0.00,90
2.96,TAKEOFF,TAKEOFF,1,-35.3631567,149.1652216,0.05,8.50,10.14,0.04,4.02,-7.02,0.01,-3.27,0.01,-0.00,10.06,-1.23,0.00,-0.00,90
3.16,TAKEOFF,TAKEOFF,1,-35.3631382,149.1652188,0.05,9.17,10.80,0.04,3.51,-7.02,0.01,-1.44,0.01,-0.00,10.72,-1.31,0.00,-0.00,90
3.37,TAKEOFF,TAKEOFF,1,-35.3631186,149.1652158,0.05,9.86,11.43,0.04,4.12,-7.02,0.01,13.08,0.01,-0.00,11.34,-1.39,0.00,-0.00,90
3.57,TAKEOFF,TAKEOFF,1,-35.3630979,149.1652127,0.07,10.52,11.93,0.04,8.96,-7.01,-0.05,25.55,0.05,1.59,11.83,-1.45,-0.33,0.33,90
3.77,TAKEOFF,TAKEOFF,1,-35.3630766,149.1652095,0.22,10.99,12.20,0.02,12.19,-7.00,-0.09,7.79,0.05,5.16,12.10,-1.48,-1.10,1.10,90
3.97,TAKEOFF,TAKEOFF,1,-35.3630546,149.1652062,0.53,11.30,12.39,0.00,12.67,-6.99,-0.10,0.25,0.05,7.77,12.30,-1.50,-1.69,1.69,90
4.18,TAKEOFF,TAKEOFF,1,-35.3630323,149.1652029,0.92,11.54,12.58,-0.02,12.98,-6.99,-0.10,2.86,0.05,9.35,12.48,-1.52,-2.07,2.07,90
4.38,TAKEOFF,TAKEOFF,1,-35.3630097,149.1651995,1.38,11.71,12.74,-0.03,13.78,-6.99,-0.09,4.17,0.04,10.63,12.64,-1.54,-2.39,2.39,90
4.59,TAKEOFF,TAKEOFF,1,-35.3629868,149.1651960,1.90,11.94,12.85,-0.05,14.50,-6.98,-0.08,2.82,0.03,11.83,12.75,-1.55,-2.69,2.69,90
4.79,TAKEOFF,TAKEOFF,1,-35.3629640,149.1651926,2.47,12.13,12.92,-0.20,14.96,-7.03,-1.36,1.72,-0.44,12.82,12.82,-1.56,-2.94,2.94,90
4.99,TAKEOFF,TAKEOFF,1,-35.3629412,149.1651892,3.09,12.30,12.97,-0.73,15.28,-7.21,-3.17,1.29,-1.09,13.57,12.87,-1.56,-3.13,3.13,90
5.20,TAKEOFF,TAKEOFF,1,-35.3629070,149.1651840,4.07,12.48,13.02,-1.90,15.70,-7.59,-3.56,1.26,-1.15,14.44,12.91,-1.62,-3.35,3.35,90
5.40,TAKEOFF,TAKEOFF,1,-35.3628841,149.1651804,4.75,12.60,13.04,-2.65,15.94,-7.83,-3.24,1.03,-1.04,14.87,12.92,-1.70,-3.46,3.46,90
5.61,TAKEOFF,TAKEOFF,1,-35.3628611,149.1651765,5.45,12.68,13.06,-3.32,16.13,-8.05,-2.77,0.84,-0.98,15.21,12.93,-1.79,-3.55,3.55,90
5.81,TAKEOFF,TAKEOFF,1,-35.3628381,149.1651725,6.17,12.67,13.08,-3.88,16.29,-8.26,-2.25,0.78,-0.96,15.52,12.93,-1.90,-3.63,3.63,90
6.02,TAKEOFF,TAKEOFF,1,-35.3628148,149.1651681,6.90,12.77,13.10,-4.34,16.40,-8.47,-1.73,0.58,-0.99,15.75,12.93,-2.02,-3.69,3.69,90
6.22,TAKEOFF,TAKEOFF,1,-35.3627914,149.1651635,7.64,12.80,13.12,-4.70,16.47,-8.69,-1.23,0.50,-1.05,15.88,12.94,-2.14,-3.73,3.73,90
6.42,TAKEOFF,TAKEOFF,1,-35.3627680,149.1651585,8.38,12.81,13.15,-4.98,16.51,-8.91,-0.78,0.46,-1.12,16.00,12.95,-2.26,-3.77,3.77,90
6.62,TAKEOFF,TAKEOFF,1,-35.3627446,149.1651534,9.13,12.85,13.17,-5.17,16.56,-9.16,-0.39,0.41,-1.19,16.06,12.95,-2.37,-3.79,3.79,90
6.83,TAKEOFF,TAKEOFF,1,-35.3627212,149.1651480,9.89,12.82,13.19,-5.29,16.59,-9.42,-0.06,0.28,-1.27,16.16,12.95,-2.48,-3.82,3.82,90
7.03,TAKEOFF,TAKEOFF,1,-35.3626981,149.1651424,10.65,12.83,13.19,-5.35,16.63,-9.71,0.20,0.16,-1.34,16.20,12.93,-2.58,-3.83,3.83,90
7.23,TAKEOFF,TAKEOFF,1,-35.3626750,149.1651366,11.41,12.82,13.19,-5.47,16.63,-10.05,-0.35,0.03,-1.68,16.28,12.91,-2.67,-3.85,3.85,90
7.44,TAKEOFF,TAKEOFF,1,-35.3626520,149.1651306,12.18,12.90,13.19,-5.82,16.60,-10.48,-1.78,-0.06,-2.27,16.27,12.90,-2.76,-3.85,3.85,90
7.64,TAKEOFF,TAKEOFF,1,-35.3626290,149.1651245,12.94,12.94,13.19,-6.46,16.55,-11.01,-2.98,-0.02,-2.73,16.23,12.88,-2.86,-3.84,3.84,90
7.85,TAKEOFF,TAKEOFF,1,-35.3626060,149.1651181,13.70,12.94,13.20,-7.41,16.47,-11.65,-4.41,0.06,-3.23,16.19,12.85,-2.97,-3.83,3.83,90
